scalerank,natscale,labelrank,name,namepar,namealt,diffascii,nameascii,adm0cap,capalt,capin,worldcity,megacity,sov0name,sov_a3,adm0name,adm0_a3,adm1name,iso_a2,note,latitude,longitude,changed,namediff,diffnote,pop_max,pop_min,pop_other,rank_max,rank_min,geonameid,meganame,ls_name,ls_match,checkme,featureclass
"2","200","5",Jeddah,,Jiddah,"0",Jeddah,"0","0",,"0","1",Saudi Arabia,SAU,Saudi Arabia,SAU,Makkah,SA,,21.5168894643,39.2191975492,"4","0",Location adjusted. Changed scale rank. Changed scale rank.,"3012000","2867446","0","12","12","105343",Jiddah,Jeddah,"1","0",Populated place
"2","200","5",Makkah,Mecca,,"0",Makkah,"0","0",,"0","1",Saudi Arabia,SAU,Saudi Arabia,SAU,Makkah,SA,,21.4300213816,39.8200394275,"1","1",Name changed.,"1385000","1323624","1630003","12","12","104515",Makkah,Makkah,"1","0",Populated place
"2","200","7",Oslo,,,"0",Oslo,"1","0",,"1","1",Kingdom of Norway,NOR,Norway,NOR,Oslo,NO,,59.9166902864,10.749979206,"4","0",Changed scale rank.,"835000","580000","701804","11","11","3143244",Oslo,Oslo,"1","0",Admin-0 capital
"2","200","2",Lahore,,,"0",Lahore,"0","0",,"0","1",Pakistan,PAK,Pakistan,PAK,Punjab,PK,,31.5599715363,74.3500247792,"5","0",Changed scale rank.,"6577000","6310888","6985899","13","13","1172451",Lahore,Lahore,"1","0",Admin-1 capital
"2","200","2",Karachi,,,"0",Karachi,"0","0",,"0","1",Pakistan,PAK,Pakistan,PAK,Sind,PK,,24.8699922882,66.99000891,"5","0",Changed scale rank.,"12130000","11624219","11570278","14","14","1174872",Karachi,Karachi,"1","0",Admin-1 capital
"2","200","3",Durban,,,"0",Durban,"0","0",,"0","1",South Africa,ZAF,South Africa,ZAF,KwaZulu-Natal,ZA,,-29.8650130017,30.9800105374,"5","0",Changed scale rank.,"2729000","2729000","2844873","12","12","1007311",Durban,Durban,"1","0",Populated place
"2","200","2",St. Petersburg,,Sankt Peterburg|Saint Petersburg,"0",St. Petersburg,"0","0",,"0","1",Russia,RUS,Russia,RUS,City of St. Petersburg,RU,,59.9390145051,30.3160200589,"5","0",Changed scale rank.,"4553000","3493212","789617","12","12","498817",Sankt Peterburg,St. Petersburg2,"1","0",Admin-1 capital
"2","200","2",Guadalajara,,,"0",Guadalajara,"0","0",,"0","1",Mexico,MEX,Mexico,MEX,Jalisco,MX,,20.6700160919,-103.330034222,"5","0",Changed scale rank.,"4198000","1640589","3465793","12","12","4005539",Guadalajara,Guadalajara1,"1","0",Admin-1 capital
"2","200","2",Puebla,,,"0",Puebla,"0","0",,"0","1",Mexico,MEX,Mexico,MEX,Puebla,MX,,19.0499599395,-98.2000372739,"4","0",Changed feature class. Changed scale rank.,"2195000","1392099","1907496","12","12","3521081",Puebla,Puebla,"1","0",Admin-1 capital
"2","200","2",Kano,,,"0",Kano,"0","0",,"0","1",Nigeria,NGA,Nigeria,NGA,Kano,NG,,11.9999768259,8.52003779973,"5","0",Changed scale rank.,"3140000","3140000","6460398","12","12","2335204",Kano,Kano,"1","0",Admin-1 capital
"2","200","5",Warsaw,Warszawa,,"0",Warsaw,"1","0",,"1","1",Poland,POL,Poland,POL,Masovian,PL,,52.2500006298,20.9999995511,"4","0",Changed scale rank.,"1707000","1702139","2012431","12","12","756135",Warszawa,Warsaw,"1","0",Admin-0 capital
"2","200","6",Pyongyang,,P'yongyang,"0",Pyongyang,"1","0",,"0","1","Korea, North",PRK,North Korea,PRK,P'yongyang,KP,,39.0194386994,125.754690714,"5","0",Changed scale rank.,"3300000","2498797","2483216","12","12","1871859",P'yongyang,Pyongyang,"1","0",Admin-0 capital
"2","200","5",Dar es Salaam,,,"0",Dar es Salaam,"1","0",De facto capita,"0","1",United Republic of Tanzania,TZA,Tanzania,TZA,Dar-Es-Salaam,TZ,,-6.80001259474,39.2683418363,"5","0",Changed scale rank.,"2930000","2698652","2757835","12","12","160263",Dar es Salaam,Dar es Salaam,"1","0",Admin-0 capital
"2","200","1",Medan,,,"0",Medan,"0","0",,"0","1",Indonesia,IDN,Indonesia,IDN,Sumatera Utara,ID,,3.57997397757,98.6500402415,"5","0",Changed scale rank.,"2115000","1750971","2673089","12","12","1214520",Medan,Medan,"1","0",Admin-1 capital
"2","200","8",Dublin,,,"0",Dublin,"1","0",,"1","1",Ireland,IRL,Ireland,IRL,Dublin,IE,,53.333061136,-6.24890568178,"0","0",,"1059000","968976","22478","12","11","2964574",Dublin,Dublin2,"1","0",Admin-0 capital
"2","200","8",Monrovia,,,"0",Monrovia,"1","0",,"0","1",Liberia,LBR,Liberia,LBR,Montserrado,LR,,6.31055665987,-10.8047516291,"0","0",,"1041000","785662","806416","12","11","2274895",Monrovia,Monrovia,"1","0",Admin-0 capital
"2","200","3",Naples,Napoli,,"0",Naples,"0","0",,"0","1",Italy,ITA,Italy,ITA,Campania,IT,,40.8400252473,14.2450113512,"4","0",Changed feature class. Changed scale rank.,"2250000","988972","260177","12","11","3172394",Napoli,Naples2,"1","0",Admin-1 region capital
