month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202109,41180,"st. louis, mo-il",19,250000,0.0004,0,4808,-0.0113,-0.1493,47,0.13253012,-0.182608696,3244,-0.0979,0.0176,164,0.1714,-0.6846,1616,0.0359,-0.0942,6041,-0.0733,-0.101,142.1444215,0.006,0.0827,1678.5,-0.0109,-0.0767,341172.8465,-0.0093,-0.0024,10849,-0.0468,-0.1231,1.256447587,-0.0841,0.0675
202109,19740,"denver-aurora-lakewood, co",20,599925,0,0.1493,3841,-0.007,-0.3024,24.5,0.113636364,-0.319444444,4252,-0.0593,-0.0517,168,-0.0455,-0.567,1748,-0.0046,-0.2668,6308,-0.0374,-0.236,277.9975372,0.0112,0.1377,2223,-0.0054,0.0244,851748.0353,-0.002,0.1253,10149,-0.0261,-0.2626,1.642280656,-0.0519,0.1426
202109,12580,"baltimore-columbia-towson, md",21,335000,0,-0.0145,4789,0.0097,-0.0343,37,0.088235294,0.057142857,3776,-0.0923,0.0194,200,0.1111,-0.3827,1996,0.0081,0.2053,6648,-0.0589,3.1164,187.0270709,0.0005,0.0817,1678,-0.0006,-0.0641,441668.6861,-0.0021,-0.044,11437,-0.0313,0.7397,1.388181249,-0.1012,1.0625
202109,38300,"pittsburgh, pa",22,229900,-0.0112,-0.08,4239,0.0329,-0.1161,46,0.095238095,-0.148148148,2440,-0.0439,0.0835,64,0.2308,0.6,1720,0.075,-0.0023,4533,-0.0425,-0.1299,104.3350168,0.0132,0.1615,1236,-0.0048,0.0144,345030.708,-0.0234,-0.0447,8772,-0.0075,-0.1233,1.06935598,-0.0842,-0.017
202109,38900,"portland-vancouver-hillsboro, or-wa",23,554925,-0.0055,0.1,3947,0.0308,-0.1708,36,0.074626866,-0.172413793,3648,0,0.1633,2164,-0.1426,0.0798,2196,0.0281,-0.0436,6233,-0.0443,-0.1092,290.8320092,-0.0024,0.1674,1970.5,-0.0025,-0.0549,728722.7278,0.0027,0.1057,10180,-0.0165,-0.1341,1.579174056,-0.1241,0.1092
202109,16740,"charlotte-concord-gastonia, nc-sc",24,389500,0.0116,0.0579,3212,0.0009,-0.2733,30.5,0.089285714,-0.273809524,2920,-0.0988,-0.0293,244,0.0339,-0.7109,1284,0.0456,-0.0389,3508,-0.0196,-0.2584,185.955553,0.0076,0.1724,2059.5,0.0103,-0.11,524641.5464,0.0164,0.0271,6720,-0.0099,-0.2656,1.092154421,-0.0228,0.022
202109,36740,"orlando-kissimmee-sanford, fl",25,379950,0.0133,0.1691,4135,-0.0019,-0.4623,39,0.054054054,-0.32173913,3204,-0.0708,-0.0939,276,-0.0548,-0.54,1440,-0.0191,-0.4,6618,0.0041,-0.0436,199.7232577,0.0093,0.2188,1857,0.0049,-0.0418,530725.4783,0.0221,0.1622,10753,0.0018,-0.264,1.600483676,0.0096,0.7006
202109,17460,"cleveland-elyria, oh",26,199450,-0.0025,-0.0764,3144,-0.0193,-0.0239,43,0.116883117,-0.12244898,2152,-0.1166,-0.0271,60,0.25,-0.2105,1192,-0.0859,0.0276,4717,-0.035,-0.0411,107.6744053,-0.0148,0.0495,1813.5,0.0055,-0.0468,302956.2268,-0.0077,-0.0487,7861,-0.0288,-0.0343,1.500318066,-0.0243,-0.0268
202109,41700,"san antonio-new braunfels, tx",27,346450,-0.0099,0.1196,4999,0.0352,-0.2513,40,0.176470588,-0.223300971,3228,-0.1487,0.0113,376,0.4688,-0.6781,1824,-0.0579,-0.1364,6884,-0.0273,-0.0392,175.8517468,0.003,0.1897,2075,-0.0221,-0.0701,469847.6389,-0.0137,0.1079,11883,-0.0019,-0.1415,1.377075415,-0.0884,0.304
202109,17140,"cincinnati, oh-ky-in",28,312400,-0.0236,-0.0176,2975,0.0171,-0.0449,36.5,0.177419355,-0.075949367,2124,-0.1352,-0.0167,36,-0.1818,-0.5714,1208,0.1103,0.1751,4838,-0.0222,-0.0804,131.41472,-0.0157,0.1374,1444,-0.025,-0.045,430272.5573,-0.0138,0.007,7813,-0.0076,-0.0672,1.626218487,-0.0654,-0.0627
