month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202109,virginia,va,375916,0.0024,0.0392,16670,-0.0073,-0.1238,38,0.117647059,-0.164835165,11092,-0.1052,-0.0507,564,-0.1296,-0.5865,5088,-0.0047,0.2231,16885,-0.0593,0.213,191.2421875,0.0115,0.1518,1900,-0.0068,-0.0952,547329.3117,0.0029,0.0308,33555,-0.0341,0.0185,1.012897421,-0.056,0.2812
202109,nebraska,ne,253475,-0.006,0.017,3158,0.028,-0.1791,47,0.032967033,-0.196581197,1948,-0.0432,0.0104,56,0,-0.6216,668,-0.0457,-0.0773,4514,-0.0621,-0.0505,131.8298162,0.0182,0.112,1874,-0.005,-0.067,328872.7692,-8.00E-04,0.0802,7672,-0.027,-0.108,1.429385687,-0.1373,0.1936
202109,rhode island,ri,420950,0.0011,0.0538,1581,0.0102,-0.1173,37,0.15625,-0.149425287,1388,-0.0672,-0.0307,12,-0.25,-0.4,404,-0.0098,0.01,2530,-0.0417,-0.1389,272.691359,-0.0189,0.1153,1572,0.0139,-0.045,715880.2327,-0.0222,-0.0245,4111,-0.0224,-0.1307,1.600253004,-0.0866,-0.0402
202109,nevada,nv,449450,0.0273,0.2661,7404,0.0571,-0.2725,30.5,0.089285714,-0.265060241,4732,-0.0779,-0.0641,336,0.0909,-0.1845,2324,0.0901,-0.1851,1896,0.0085,-0.2149,237.9468258,0.0156,0.2458,1893,0.0085,0.0134,745116.9197,-0.0027,0.248,9300,0.0468,-0.2614,0.256077796,-0.0123,0.0188
202109,arkansas,ar,229950,0.002,0.095,6255,0.0204,-0.2191,45.5,0.096385542,-0.305343511,3168,-0.0737,0.0746,108,0.2273,-0.4255,1444,-0.027,-0.045,6193,-0.0067,0.3478,117.4654337,0.0061,0.1369,1847,0.0016,-0.0691,339270.4707,0.0097,0.1517,12448,0.0067,-0.0125,0.99008793,-0.027,0.4164
202109,alabama,al,278647.5,0.0133,0.073,10048,-0.0035,-0.253,45,0.267605634,-0.256198347,5236,-0.1566,0.0179,436,0.1474,-0.5933,2648,-0.0502,0.0747,7510,-0.0492,0.0323,132.7909804,0.0156,0.132,1930,-0.0057,-0.0685,386376.5087,0.0057,0.1224,17558,-0.0236,-0.1529,0.74741242,-0.036,0.2066
202109,oklahoma,ok,234461,-0.0021,0.0196,7183,0.0124,-0.1803,45.5,0.096385542,-0.18018018,3776,-0.1791,-0.0367,268,0.5227,-0.3093,2212,0.0147,-0.0107,8828,-0.0352,0.0677,125.7800912,0.006,0.1132,1797.5,-0.0036,-0.0864,341257.888,0.0057,0.077,16011,-0.0144,-0.0599,1.229012947,-0.0606,0.2855
202109,georgia,ga,364950,0,0.1062,29581,-4.00E-04,-0.2567,38.5,0.069444444,-0.214285714,20912,-0.0913,0.0308,1236,-0.1222,-0.6586,8968,0.0452,-0.1273,38585,-0.0232,-0.0409,147.4785156,0.0108,0.1815,1848.5,-0.0043,-0.0835,512425.1249,-0.0011,0.1164,68166,-0.0135,-0.1482,1.304384571,-0.0305,0.2935
202109,california,ca,726500,-0.0082,0.0028,46633,-0.001,-0.117,39,0.068493151,-0.071428571,36220,-0.0537,-0.0881,1592,-0.0701,-0.1777,11584,-3.00E-04,-0.0736,52722,-0.0069,-0.1148,427.640625,-0.0116,0.0435,1764,0.0023,-0.0382,1535082.899,-0.0054,0.0254,99355,-0.0041,-0.1158,1.13057277,-0.0067,0.0027
202109,alaska,ak,342250,0.0068,0.104,1747,-0.0464,-0.219,47.5,0.301369863,-0.227642276,728,-0.2189,0.0055,44,0.1,-0.0833,656,-0.1323,0.0123,133,-0.0432,0.0153,195.0700431,0.0037,0.0946,1753,0.0054,0.0046,411380.692,0.0275,0.107,1880,-0.0462,-0.2061,0.076130509,3.00E-04,0.0176
