month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202109,idaho,id,532500,-0.0166,0.2831,5429,0.0562,0.4481,36,0.142857143,-0.152941176,3332,-0.0856,0.4875,152,0.7273,-0.696,2876,0.0894,2.8245,5724,-0.0105,0.0138,269.6104399,-0.0098,0.3206,2112,-0.0017,-0.019,833850.3514,-0.0048,0.1122,11153,0.0209,0.1871,1.054337815,-0.0711,-0.4517
202109,ohio,oh,203900,-0.04,-0.04,16414,-0.0035,-0.0305,38,0.134328358,-0.164835165,11908,-0.115,0.0326,632,-0.092,-0.1413,6824,-0.0023,0.075,23264,-0.0251,-0.0421,114.6723085,-0.0051,0.0906,1618.5,-0.0077,-0.0612,296924.7783,-0.0112,0.0006,39678,-0.0163,-0.0373,1.417326672,-0.0315,-0.0172
202109,arizona,az,449950,-0.0001,0.1487,10429,0.0512,-0.0977,34.5,0.061538462,-0.158536585,9504,-0.031,0.0645,564,0.1016,-0.5392,4224,0.0193,0.0977,16537,0.0149,-0.1326,241.8343727,0.0042,0.1963,1934.5,-0.0067,-0.0463,685406.9445,-0.0002,0.0586,26966,0.0286,-0.1194,1.585674561,-0.0567,-0.0639
202109,south carolina,sc,325450,0.0014,0.1261,10712,0.0246,-0.4031,40,0.095890411,-0.375,6644,-0.1253,-0.0611,900,-0.0854,-0.5273,3064,-0.0242,-0.2947,15500,0.0114,0.0215,144.7219048,0.0075,0.081,1686,0.0009,-0.0169,511470.9307,-0.0211,0.1397,26212,0.0168,-0.2086,1.446975355,-0.0188,0.6014
202109,hawaii,hi,725000,0.0001,0.1462,4269,0.009,-0.3605,46,-0.070707071,-0.361111111,1764,0.1366,0.1053,96,-0.04,0.4118,372,-0.07,-0.5053,1112,-0.0787,-0.0488,578.0379041,0.0067,0.0606,1207,0.0092,0.0477,1293301.273,-0.0115,0.114,5381,-0.0105,-0.3141,0.260482549,-0.0248,0.0854
202109,alaska,ak,342250,0.0068,0.104,1747,-0.0464,-0.219,47.5,0.301369863,-0.227642276,728,-0.2189,0.0055,44,0.1,-0.0833,656,-0.1323,0.0123,133,-0.0432,0.0153,195.0700431,0.0037,0.0946,1753,0.0054,0.0046,411380.692,0.0275,0.107,1880,-0.0462,-0.2061,0.076130509,0.0003,0.0176
202109,washington,wa,575000,0,0.1501,9271,0.0409,-0.2871,33,0.118644068,-0.142857143,10064,-0.0187,-0.0312,780,-0.1522,-0.2883,3236,0.0452,-0.166,15408,-0.0381,-0.085,295.4443804,-0.0027,0.1426,1939,0.0333,0.0083,782061.0773,0.0008,0.0983,24679,-0.0099,-0.1731,1.661956639,-0.1365,0.3671
202109,georgia,ga,364950,0,0.1062,29581,-0.0004,-0.2567,38.5,0.069444444,-0.214285714,20912,-0.0913,0.0308,1236,-0.1222,-0.6586,8968,0.0452,-0.1273,38585,-0.0232,-0.0409,147.4785156,0.0108,0.1815,1848.5,-0.0043,-0.0835,512425.1249,-0.0011,0.1164,68166,-0.0135,-0.1482,1.304384571,-0.0305,0.2935
202109,district of columbia,dc,599450,0.0293,-0.077,2006,0.1779,0.1555,37,-0.129411765,0.174603175,1568,0.9502,0.2288,24,2,0,624,0.3929,0.1642,974,-0.1257,1.5103,557.6998028,0.008,-0.0363,1086,0.0299,-0.044,923031.6241,0.0044,-0.0482,2980,0.0579,0.403,0.48554337,-0.1686,0.262
202109,texas,tx,350000,0.0002,0.1262,52997,0.0047,-0.2341,40.5,0.14084507,-0.25,32180,-0.1174,0.0359,2868,0.2557,-0.4816,18216,-0.0236,-0.0471,53408,-0.0188,-0.063,167.0820312,0.0104,0.171,2074.5,-0.006,-0.0521,499207.3269,-0.0029,0.0848,106405,-0.0072,-0.1568,1.007755156,-0.0241,0.1841
202109,virginia,va,375916,0.0024,0.0392,16670,-0.0073,-0.1238,38,0.117647059,-0.164835165,11092,-0.1052,-0.0507,564,-0.1296,-0.5865,5088,-0.0047,0.2231,16885,-0.0593,0.213,191.2421875,0.0115,0.1518,1900,-0.0068,-0.0952,547329.3117,0.0029,0.0308,33555,-0.0341,0.0185,1.012897421,-0.056,0.2812
202109,new mexico,nm,305000,0.0086,0.0685,4301,-0.0196,-0.1563,51,0.0625,-0.13559322,1928,-0.1469,-0.0641,84,-0.16,-0.4615,984,-0.004,-0.0575,3926,-0.0258,-0.0485,154.9576245,0.0059,0.1038,1930,-0.0028,-0.0248,482364.053,0.0107,0.0754,8227,-0.0226,-0.1081,0.912810974,-0.0058,0.1035
202109,delaware,de,387000,0.0019,0.1059,1757,0.0275,-0.2427,49,0.088888889,-0.240310078,1268,-0.048,0.0428,104,-0.2778,-0.7886,488,0.0167,0.1961,3296,-0.0208,3.2365,180.1136909,0.0049,0.1057,1949,0.0041,-0.0255,477517.4125,0.0061,0.0157,5053,-0.0045,0.6311,1.875924872,-0.0925,1.5406
202109,wisconsin,wi,275000,-0.0175,0.0389,11254,0.0303,-0.1324,43,0.131578947,-0.156862745,6692,-0.0932,0.022,124,-0.1143,-0.3542,3504,0.0709,0.1173,9212,-0.0348,-0.1081,151.2219157,0.0003,0.1054,1689,-0.0065,-0.0466,364333.377,-0.0168,0.0304,20466,0,-0.1216,0.818553403,-0.0552,0.0224
202109,connecticut,ct,459250,-0.0212,0.1901,7719,-0.0283,-0.5209,49.5,0.178571429,0.03125,4396,-0.055,-0.2649,100,-0.5098,-0.7368,2136,0.0533,-0.186,9558,-0.0539,57.2805,235.9194979,-0.0084,0.2771,1927.5,-0.0062,-0.0791,1060585.812,-0.0083,0.3065,17277,-0.0426,0.0616,1.238243296,-0.0334,1.2281
