month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202109,26145,"saginaw, mi",132400,-0.1453,-0.172,323,-0.0092,0.0912,34.5,0.326923077,0.254545455,216,-0.1563,-0.0182,4,,,144,-0.1818,0.2857,400,0.0582,0,91.40883191,-0.0727,-0.0746,1412,-0.0677,-0.1316,182658.8137,-0.0921,-0.1701,723,0.027,0.0388,1.238390093,0.0789,-0.113
202109,36027,"dutchess, ny",425000,0,0,1623,-0.0299,-0.285,95,0.098265896,0.266666667,420,-0.2045,-0.4928,16,-0.2,-0.6,252,0.0328,-0.3438,1191,-0.0637,-0.2296,200.1542004,-0.0054,0.0476,2099,0.0048,-0.05,657580.2453,-0.0022,0.0198,2814,-0.0445,-0.2626,0.733826248,-0.0265,0.0528
202109,21059,"daviess, ky",200400,0.0025,0.0553,137,0.0787,-0.0867,36,-0.088607595,-0.088607595,100,0.1364,0.1364,0,,,68,0.2143,0,177,-0.0221,-0.1281,123.3028577,0.0288,0.1022,1638.5,-0.0106,-0.0605,267261.5908,0.0239,-0.2635,314,0.0195,-0.1105,1.291970803,-0.1332,-0.0614
202109,12105,"polk, fl",312500,0.0436,0.2576,1143,0.0224,-0.4929,38,0,-0.35042735,968,0.0211,-0.0584,100,0.087,-0.7191,364,0,-0.3158,2162,0.0434,-0.1355,172.2811157,0.0291,0.2623,1815.5,0.003,-0.0087,376159.6717,0.0431,0.2724,3305,0.0361,-0.3049,1.891513561,0.0382,0.7819
202109,48157,"fort bend, tx",397845,-0.0016,0.1084,1454,0.0028,-0.2945,36.5,0.106060606,-0.27,1020,-0.023,0.0039,136,0.619,-0.5,604,0.0414,-0.0679,1980,-0.0213,-0.102,154.9108892,0.0204,0.1862,2691,-0.0121,-0.0604,512452.9509,-0.0015,0.1368,3434,-0.0112,-0.195,1.36176066,-0.0334,0.2919
202109,24017,"charles, md",419999,0.0258,0.12,296,-0.0034,0.3704,35,0.166666667,0.060606061,284,-0.0405,0.3148,12,-0.4,-0.625,116,0,1.4167,548,0,2.1494,184.8449396,0.0054,0.1041,2120,0,-0.0075,457096.1776,0.0304,0.1244,844,-0.0012,1.1641,1.851351351,0.0062,1.0458
202109,22015,"bossier, la",216000,-0.1292,-0.0998,178,-0.0326,-0.4885,43,0.036144578,-0.085106383,108,-0.1563,-0.3077,0,-1,,48,0.0909,-0.4,301,0.0067,15.7222,121.4638376,-0.0634,0.0001,1772,-0.0589,-0.1055,279862.767,-0.0401,-0.0324,479,-0.0083,0.3087,1.691011236,0.066,1.6393
202109,45035,"dorchester, sc",374078,-0.0156,0.1565,458,0.1421,-0.2672,26,-0.212121212,-0.463917526,344,0.0488,-0.1569,76,0.7273,-0.4412,188,0.0444,-0.1132,846,-0.0971,-0.1314,168.5260764,-0.0245,0.2069,2201,0.0036,-0.048,411952.2784,-0.0212,0.1708,1304,-0.0254,-0.1845,1.847161572,-0.4895,0.2888
202109,40047,"garfield, ok",146950,-0.002,-0.1356,151,-0.0195,-0.1322,41,0.171428571,-0.333333333,76,-0.1739,-0.05,0,,-1,68,-0.0556,0.3077,144,-0.1325,0.0213,93.81665855,0.0208,0.0136,1630.5,-0.0254,-0.1578,204172.5338,0.0443,-0.0395,295,-0.0781,-0.0635,0.953642384,-0.1243,0.1433
202109,29099,"jefferson, mo",258892.5,0.0257,0.0615,395,-0.0295,-0.1542,77,0.026666667,-0.129943503,216,-0.1692,0.0385,32,7,-0.2727,108,0.1739,0.08,567,-0.072,-0.0825,148.8860218,0.0264,0.1349,1665.5,0.0015,-0.0659,281333.2178,0.0242,0.0785,962,-0.055,-0.1134,1.435443038,-0.0658,0.1121
202109,55101,"racine, wi",257450,-0.0533,-0.1119,391,0.1466,0.1742,34.5,0.112903226,-0.224719101,296,0.0137,0.3455,4,,,200,0.3889,0.4706,357,0.0657,-0.0505,139.4928805,-0.008,-0.0022,1561,-0.0161,-0.0714,347814.25,-0.0382,-0.0974,748,0.1065,0.055,0.913043478,-0.0694,-0.2161
202109,36057,"montgomery, ny",199000,0.0343,0.2445,132,-0.0222,-0.25,64.5,0.194444444,0.194444444,40,-0.3333,-0.375,0,,,32,-0.3333,-0.4286,175,0.087,-0.1117,110.9072559,-0.0607,0.2146,1815.5,0.0269,-0.0079,286156.4758,0.0582,0.2237,307,0.0372,-0.1769,1.325757576,0.1332,0.2064
202109,39119,"muskingum, oh",186400,-0.0184,0.0106,105,0.0938,-0.0187,33.5,-0.056338028,-0.367924528,100,0.4706,0.087,0,,,28,0,-0.3,136,-0.1338,0.0709,100.5344017,-0.0326,0.1261,1848,-0.0139,-0.0212,252101.6074,0.083,0.0425,241,-0.0474,0.0299,1.295238095,-0.3402,0.1083
202109,5033,"crawford, ar",222450,0.1212,0.0344,102,0.0737,-0.0556,34,0.446808511,-0.260869565,64,0.0667,0,0,,,20,0,0.25,6,-0.1429,0.2,111.52648,0.0061,0.0923,1836,0.0468,-0.1169,307092.7014,0.0268,0.1059,108,0.0588,-0.0442,0.058823529,-0.0149,0.0125
202109,48201,"harris, tx",359950,-0.0134,0.0493,9734,-0.0279,-0.2055,42,0.135135135,-0.192307692,5456,-0.0895,-0.013,476,-0.0985,-0.4387,3708,0.0087,0.03,8517,-0.0292,-0.0244,169.7728926,0.0047,0.1033,2177,-0.0118,-0.0633,556090.6776,-0.0152,0.0215,18251,-0.0285,-0.1302,0.874974317,-0.0012,0.1624
