BLKID	POPN_TOTAL	POPN_WHITE	POPN_BLACK	POPN_NATIV	POPN_ASIAN	POPN_OTHER	BORONAME
"360850291031004"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850036001005"	"110"	"55"	"7"	"0"	"18"	"30"	Staten Island
"360850040001005"	"70"	"10"	"44"	"0"	"12"	"4"	Staten Island
"360850059001005"	"37"	"35"	"0"	"0"	"2"	"0"	Staten Island
"360850081001005"	"282"	"90"	"123"	"1"	"3"	"65"	Staten Island
"360850096011005"	"79"	"70"	"0"	"0"	"2"	"7"	Staten Island
"360850114021005"	"83"	"73"	"0"	"2"	"1"	"7"	Staten Island
"360850121001005"	"64"	"63"	"1"	"0"	"0"	"0"	Staten Island
"360850125001005"	"208"	"157"	"14"	"0"	"12"	"25"	Staten Island
"360850132031005"	"71"	"65"	"0"	"0"	"0"	"6"	Staten Island
"360850146051005"	"171"	"165"	"0"	"0"	"5"	"1"	Staten Island
"360850151001005"	"108"	"84"	"4"	"0"	"13"	"7"	Staten Island
"360850156011005"	"86"	"85"	"0"	"0"	"0"	"1"	Staten Island
"360850170091005"	"34"	"34"	"0"	"0"	"0"	"0"	Staten Island
"360850208041005"	"125"	"111"	"0"	"0"	"9"	"5"	Staten Island
"360850223001005"	"103"	"26"	"47"	"0"	"1"	"29"	Staten Island
"360850244011005"	"38"	"35"	"0"	"1"	"0"	"2"	Staten Island
"360850273011005"	"166"	"118"	"5"	"0"	"31"	"12"	Staten Island
"360850277061005"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850291031005"	"87"	"71"	"0"	"0"	"15"	"1"	Staten Island
"360850006001006"	"36"	"11"	"10"	"0"	"2"	"13"	Staten Island
"360850020021006"	"218"	"118"	"51"	"0"	"20"	"29"	Staten Island
"360850040001006"	"101"	"31"	"20"	"2"	"40"	"8"	Staten Island
"360850112011006"	"121"	"118"	"0"	"0"	"0"	"3"	Staten Island
"360850114011006"	"54"	"48"	"6"	"0"	"0"	"0"	Staten Island
"360850114021006"	"102"	"73"	"0"	"0"	"16"	"13"	Staten Island
"360850146041006"	"157"	"154"	"0"	"0"	"2"	"1"	Staten Island
"360850156021006"	"54"	"51"	"0"	"0"	"3"	"0"	Staten Island
"360850170091006"	"89"	"81"	"0"	"0"	"8"	"0"	Staten Island
"360850170121006"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850177001006"	"58"	"42"	"0"	"0"	"12"	"4"	Staten Island
"360850189011006"	"49"	"42"	"0"	"5"	"0"	"2"	Staten Island
"360850189021006"	"147"	"101"	"0"	"0"	"25"	"21"	Staten Island
"360850197001006"	"38"	"38"	"0"	"0"	"0"	"0"	Staten Island
