INCIDENT_D	BORONAME	NUM_VICTIM	PRIMARY_MO	ID	WEAPON	LIGHT_DARK	YEAR
2008/06/01	Brooklyn	"1"		"166"	gun	D	"2008"
2008/06/06	Brooklyn	"1"		"171"	gun	D	"2008"
2008/06/06	Brooklyn	"1"		"172"	knife	D	"2008"
2008/06/07	Brooklyn	"1"		"173"	gun	D	"2008"
2008/06/06	Brooklyn	"1"		"174"		L	"2008"
2008/06/07	Manhattan	"1"		"175"	gun	D	"2008"
2008/06/08	Brooklyn	"1"		"176"	knife	D	"2008"
2008/06/08	Manhattan	"1"		"177"	knife	D	"2008"
2008/04/29	Staten Island	"1"		"178"	gun	L	"2008"
2008/04/04	Manhattan	"1"		"179"		D	"2008"
2008/06/09	Brooklyn	"1"		"180"	gun	D	"2008"
2008/06/10	Brooklyn	"1"		"182"	gun	D	"2008"
2008/05/24	Brooklyn	"1"		"183"	gun	D	"2008"
2008/06/15	Queens	"1"		"184"	gun	L	"2008"
2008/06/15	Brooklyn	"1"		"185"	other	L	"2008"
2008/09/08	Queens	"1"		"3443"		L	"2008"
2008/05/28	Staten Island	"1"		"187"	gun	L	"2008"
2008/06/11	Queens	"1"		"189"	knife	D	"2008"
2008/10/01	Brooklyn	"1"		"191"	gun	D	"2008"
2008/10/27	Brooklyn	"1"		"192"	gun	L	"2008"
2008/03/23	Staten Island	"1"		"193"	other	L	"2008"
2008/06/21	Brooklyn	"1"		"195"	gun	D	"2008"
2008/06/22	Manhattan	"1"		"196"	knife	D	"2008"
2008/06/22	Queens	"1"		"197"		D	"2008"
2008/06/20	Manhattan	"1"		"198"		D	"2008"
2008/06/23	Manhattan	"1"		"200"		L	"2008"
2008/10/31	Brooklyn	"1"		"202"	knife	D	"2008"
2008/11/02	Brooklyn	"1"		"206"	gun	D	"2008"
2008/10/26	Brooklyn	"1"		"208"		D	"2008"
2008/06/24	Manhattan	"1"		"209"	gun	L	"2008"
2008/06/25	Queens	"1"		"211"	knife	D	"2008"
2008/06/24	Manhattan	"1"		"212"	gun	D	"2008"
2008/06/22	Queens	"1"		"213"	knife	D	"2008"
2008/06/24	Manhattan	"1"		"214"	gun	D	"2008"
2008/06/28	Brooklyn	"1"		"215"	gun	D	"2008"
2008/06/29	Manhattan	"1"		"217"	gun	D	"2008"
