ID	NAME	ONEWAY	TYPE
"4593"	23rd Ave		residential
"4594"	73rd Pl		residential
"4595"	S Railroad Ave		residential
"4596"	71st St		residential
"4597"	Casanova St		residential
"4598"	Marmion Ave		residential
"4599"	61st Dr		residential
"4600"	Qn Midtown Expressway en Eb		residential
"4601"	E 195th St		residential
"4602"	Fairmount Pl		residential
"4603"	Hoffman St		residential
"4604"	79th St		residential
"4605"	Vyse Ave		residential
"4606"			motorway_link
"4607"			unclassified
"4608"	Arthur Ave		residential
"4609"	46th Ave		residential
"4610"	Beach 179th St		residential
"4611"	Church Ave		residential
"4612"	66th St		residential
"4613"	Flatlands 4th St		residential
"4614"	E 199th St		residential
"4615"	Astoria Blvd N	yes	secondary
"4616"	Qn Midtown Expressway en Eb		residential
"4617"	E 197th St		residential
"4618"	Sunnyside Ct		residential
"4619"	Faile St		residential
"4620"			tertiary
"4621"	73rd St		residential
"4622"	E Bay Ave		residential
"4623"	E 183rd St		residential
"4624"	Crescent Ave		residential
"4625"	Hero Rd		residential
"4626"	Elsmere Pl		residential
"4627"	62nd Ave		residential
"4628"	Barretto St		residential
"4629"	65th St		residential
"4630"	Adams Pl		residential
"4631"	81st St		residential
"4632"			residential
"4633"			motorway_link
"4634"	Bedford Park Blvd		residential
"4635"	74th St		residential
"4636"	58th Ave		residential
"4637"	Seaview Ct		residential
"4638"	Beach 178th St		residential
"4639"	80th St		residential
"4640"	Seneca Ave		residential
"4641"	Viele Ave		residential
"4642"	Vineyard Pl		residential
"4643"			residential
"4644"	66th Pl		residential
"4645"	73rd Pl		residential
"4646"	57th Rd		residential
"4647"	Steele Rd		residential
"4648"	Bryant Ave		residential
"4649"	Jerome St		residential
"4650"	62nd Rd		residential
"4651"	E 96th St		residential
"4652"	72nd St		residential
"4653"	Ridgewood Ave		residential
"4654"	Shore Pkwy Service Road		unclassified
"4655"	Pond Pl		residential
"4656"	Irvine St		residential
"4657"	65th Pl		residential
"4658"	73rd St		residential
"4659"	Murray Rd		residential
"4660"	Hughes Ave		residential
"4661"	Mohegan Ave		residential
"4662"	Cooper Ave		residential
"4663"	Crotona Park  E		residential
"4664"	Waterloo Pl		residential
"4665"	Dale Pl		residential
"4666"			residential
"4667"	Gilbert Pl		residential
"4668"	Dickinson Ave		residential
"4669"	Newjersey Ave		residential
"4670"	Faile St		residential
"4671"	Villa Ave		residential
"4672"	41st Ave		residential
"4673"	Flatlands 5th St		residential
"4674"	E 204th St		residential
"4675"	62nd Dr		residential
"4676"	Kneeland St		residential
"4677"	Goulden Ave		residential
"4678"	73rd Pl		residential
"4679"			residential
"4680"	Mount Saint Ursula Pl		residential
"4681"	Hillside Ave		residential
"4682"	Centre St		residential
"4683"	67th St		residential
"4684"	81st St		residential
"4685"			motorway_link
"4686"	Emmet St		residential
"4687"	E 186th St		residential
"4688"	E 205th St		residential
"4689"			residential
"4690"	Haan Rd		residential
"4691"	Warwick St		residential
"4692"	73rd Pl		residential
"4693"	Hughes Ave		residential
"4694"			residential
"4695"	Mosholu Pky		motorway
"4696"	Marine Terminal Rd		residential
"4697"	47th Ave		residential
"4698"	Longfellow Ave		residential
"4699"	Home St		residential
"4700"			residential
"4701"	Sheridan Expy		motorway
"4702"	Flatlands 6th St		residential
"4703"	Coster St		residential
"4704"	Interborough Pky		motorway
"4705"	66th St		residential
"4706"			tertiary
"4707"	Mapes Ave		residential
"4708"	Juniper Blvd S		residential
"4709"	Bryant Ave		residential
"4710"	Lowell St		residential
"4711"			residential
"4712"	Rockaway Point Blvd		tertiary
"4713"	78th St		residential
"4714"	Calamus Cir		residential
"4715"			residential
"4716"	82nd St		tertiary
"4717"			motorway_link
"4718"	E 174th St		residential
"4719"	Van Cortlandt Ave E		residential
"4720"			residential
"4721"			residential
"4722"			residential
"4723"	Mosholu Pky		motorway
"4724"	Vandalia Ave		residential
"4725"	Davis Rd		residential
"4726"		yes	tertiary
"4727"			motorway_link
"4728"			motorway_link
"4729"	Kneeland Ave		residential
"4730"	Jacobus St		residential
"4731"	E 197th St		residential
"4732"	74th St		residential
"4733"			residential
"4734"	Whitlock Ave		residential
"4735"	Trafalgar Pl		residential
"4736"	New Jersey Ave		residential
"4737"	Calamus Ave		residential
"4738"	Grote St		residential
"4739"	82nd St	yes	tertiary
"4740"	Rikers Is Br Appr		residential
"4741"	Calamus Ave		residential
"4742"	Hendrix St		residential
"4743"	67th Pl		residential
"4744"	E 201st St		residential
"4745"	Ashford St		residential
"4746"	78th St		residential
"4747"	Bathgate Ave		residential
"4748"	66th Rd		residential
"4749"	74th St		residential
"4750"			motorway_link
"4751"	69th Pl		tertiary
"4752"	Church Rd		residential
"4753"	Barret Rd		residential
"4754"	W Mosholu Pky S		residential
"4755"			motorway
"4756"	78th St		residential
"4757"	E 202nd St		residential
"4758"	W Gun Hill Rd		residential
"4759"			motorway
"4760"	Mosholu Pky		residential
"4761"	66th Pl		residential
"4762"	Juniper Valley Rd		residential
"4763"	Longfellow Ave		residential
"4764"	Cambreleng Ave		residential
"4765"	79th St		residential
"4766"	Belmont Ave		residential
"4767"	E 203rd St		residential
"4768"	Drainage St		residential
"4769"	Bayside Ave		residential
"4770"	Flatlands 7th St		residential
"4771"	E 191st St		residential
"4772"	Ireland St		residential
"4773"	Parks End Ter		residential
"4774"	Church Ave		residential
"4775"	Steele Rd		residential
"4776"	Schenck Ave		residential
"4777"			residential
"4778"	65th Dr		residential
"4779"	68th St		residential
"4780"	Cleveland St		residential
"4781"	Garden St		residential
"4782"	83rd St		residential
"4783"	Ryawa Ave		residential
"4784"	Boone Ave		residential
"4785"			residential
"4786"			motorway_link
"4787"	Elks Rd		residential
"4788"	Boone Ave		residential
"4789"	Penelope Ave		tertiary
"4790"	Parks End Ter		residential
"4791"	Crotona Pky		residential
"4792"	Oliver Pl		residential
"4793"	69th Ln		residential
"4794"	79th St		residential
"4795"			residential
"4796"	Flatlands 8th St		residential
"4797"	75th St		residential
"4798"	75th St		residential
"4799"	24th Ave		residential
"4800"	66th Dr		residential
"4801"	67th St		residential
"4802"	Ankener Ave		residential
"4803"	Parks End Ter		residential
"4804"	Beaumont Ave		residential
"4805"	McClancy Pl		residential
"4806"			motorway_link
"4807"	Whittier St		residential
"4808"	E 206th St		residential
"4809"	Heinzelman Rd		residential
"4810"	Hillyer St		residential
"4811"			residential
"4812"	E Mosholu Pky S		residential
"4813"			motorway_link
"4814"	Albion Ave		residential
"4815"	Elton St		residential
"4816"	W Farms Rd		residential
"4817"	Cross Bx Service Road		unclassified
"4818"	71st St		residential
"4819"			motorway_link
"4820"			residential
"4821"	E 199th St		residential
"4822"	68th Pl		residential
"4823"	Bainbridge Ave		residential
"4824"	70th St		residential
"4825"	62nd Dr		residential
"4826"	71st St		residential
"4827"	82nd St		residential
"4828"			residential
"4829"	Lutheran Ave		residential
"4830"	Cleveland St		residential
"4831"	Woodside Ave		tertiary
"4832"			residential
"4833"	Croton Loop		residential
"4834"	84th St		residential
"4835"	W Mosholu Pky N		residential
"4836"	St Georges Cres		residential
"4837"	Mosholu Pky S		residential
"4838"			residential
"4839"	67th Pl		residential
"4840"	Barbey St		residential
"4841"	Baxter Ave		tertiary
"4842"	80th St		residential
"4843"	Mohegan Ave		residential
"4844"	Edgewater Rd		residential
"4845"	Rikers Is Br		residential
"4846"	Juniper Blvd N		residential
"4847"	Perry Ave		residential
"4848"	Flatlands 9th St		residential
"4849"	Twin Pines Dr E		residential
"4850"	Jerome St		residential
"4851"	Gorsline St		residential
"4852"	Daly Ave		residential
"4853"			residential
"4854"	Rikers Is Br		residential
"4855"			residential
"4856"			residential
"4857"	Grand Concourse		residential
"4858"	75th St		residential
"4859"	Linwood St		residential
"4860"	80th St		residential
"4861"	Honeywell Ave		residential
"4862"			motorway_link
"4863"	Aviation Rd		residential
"4864"	Juniper Blvd		residential
"4865"	Gates Pl		residential
"4866"	Barnwell Ave		residential
"4867"	Layton St		residential
"4868"	69th St		residential
"4869"	85th St		residential
"4870"			motorway_link
"4871"	76th St		residential
"4872"			unclassified
"4873"	57th Rd		residential
"4874"			residential
"4875"	Watson Ave		residential
"4876"			residential
"4877"	E 176th St		residential
"4878"	Elton St		residential
"4879"			residential
"4880"	58th Ave		residential
"4881"	One Lighting Pl		residential
"4882"	54th Ave		residential
"4883"	Flatlands 10th St		residential
"4884"	"E Fordham Rd; Pelham Pky S; Bronx and Pelham Pky"		"primary; residential; motorway_link; residential"
"4885"	E Fordham Rd		residential
"4886"	58th Rd		residential
"4887"	Knox Pl		residential
"4888"	66th Dr		residential
"4889"			residential
"4890"	Ketcham St		residential
"4891"	68th St		residential
"4892"	Grote St		residential
"4893"	81st St		residential
"4894"	Astoria Blvd		secondary
"4895"	Lisbon Pl		residential
"4896"	Warwick St		residential
"4897"	Ardsley Loop		residential
"4898"	83rd St		residential
"4899"	60th Rd		residential
"4900"	Kneeland Ave		residential
"4901"			motorway_link
"4902"	Manilla St		residential
"4903"	Elton St		residential
"4904"	75th Pl		residential
"4905"	Dr Theodore Kazimiroff Blvd		residential
"4906"	Dr Theodore Kazimiroff Blvd		residential
"4907"	Qn Midtown Expressway Exit Wb		residential
"4908"	Pettit Ave		residential
"4909"	Essex St		residential
"4910"			residential
"4911"	Vyse Ave		residential
"4912"	Boston Rd		residential
"4913"	Judge St		residential
"4914"			residential
"4915"			residential
"4916"	E Mosholu Pky N		residential
"4917"	84th St		residential
"4918"	77th Pl		residential
"4919"	69th Pl		residential
"4920"	86th St		tertiary
"4921"	Ditmars Blvd		tertiary
"4922"	Ithaca St		residential
"4923"	Delmar Loop		residential
"4924"	Linwood St		residential
"4925"	Cornish Ave		residential
"4926"	78th St		residential
"4927"	Mosholu Pky		residential
"4928"			unclassified
"4929"	77th St		residential
"4930"	Bronx River Ave		residential
"4931"	Folsom Pl		residential
"4932"	E 208th St		residential
"4933"	72nd St		residential
"4934"	Old Kingsbridge Rd		residential
"4935"			residential
"4936"	Kneeland Ave		residential
"4937"	Drake St		residential
"4938"	86th St		residential
"4939"	Drake Park  S		residential
"4940"	Ashford St		residential
"4941"			motorway_link
"4942"	E 185th St		residential
"4943"			residential
"4944"	76th St		residential
"4945"	Codwise Pl		footway
"4946"	Codwise Pl		residential
"4947"	82nd St		residential
"4948"	Nereid Ave		residential
"4949"	Hornaday Pl		residential
"4950"			residential
"4951"	Shepherd Ave		residential
"4952"			residential
"4953"			unclassified
"4954"			residential
"4955"	Hampton St		residential
"4956"	Close Ave		residential
"4957"	Beach Channel Dr		tertiary
"4958"			tertiary
"4959"			residential
"4960"	Story Ave		residential
"4961"	Kossuth Ave		residential
"4962"	Juniper Blvd N		residential
"4963"	Bronx Park Rd		residential
"4964"	79th St		residential
"4965"	Bronx Park  S		residential
"4966"	Botanical Sq S		residential
"4967"	Essex St		residential
"4968"	87th St		residential
"4969"	Beach 169th St		residential
"4970"	Marine Parkway Br Approach		residential
"4971"			unclassified
"4972"			residential
"4973"	E 210th St		residential
"4974"	Dekalb Ave		residential
"4975"			motorway_link
"4976"	Britton Ave		residential
"4977"	74th St		residential
"4978"	70th St		residential
"4979"	Bethel Loop		residential
"4980"	Dongan Ave		residential
"4981"	Gleane St		residential
"4982"	Codwise Pl		residential
"4983"	Van Kleeck St		residential
"4984"	Cleveland St		residential
"4985"	52nd Ave		residential
"4986"	Pleasantview St		residential
"4987"	Colgate Ave		residential
"4988"	Botanical Sq		residential
"4989"	E 172nd St		residential
"4990"			residential
"4991"	Highland Pl		residential
"4992"	Force Tube Ave		residential
"4993"	Whittier St		residential
"4994"	Avenue A		residential
"4995"			motorway_link
"4996"	Poyer St		residential
"4997"	Luther Rd		residential
"4998"	Haspel St		residential
"4999"	Beach Channel Dr		residential
"5000"	Beach Channel Dr		tertiary
"5001"			service
"5002"	Etna St		residential
"5003"	Rodman Pl		residential
"5004"	Bronx Park Rd		residential
"5005"	Marine Parkway Br Approach		residential
"5006"	Freeport Loop		residential
"5007"	Beach Channel Dr		secondary
"5008"	Shepherd Ave		residential
"5009"	73rd Pl		tertiary
"5010"	Vietor Ave		residential
"5011"	Vankleeck St		residential
"5012"	83rd St		residential
"5013"	Beach Channel Dr		secondary
"5014"	88th St		residential
"5015"	23rd Ave	undefined	residential
"5016"	23rd Ave	yes	residential
"5017"	Botanical Sq N		residential
"5018"	Steuben Ave		residential
"5019"	75th St		residential
"5020"	Evergreen Ave		residential
"5021"	71st St		residential
"5022"	Close Ave		residential
"5023"	53rd Ave		residential
"5024"	Hendrix St		residential
"5025"	Simonson St		residential
"5026"			residential
"5027"	Schroeders Ave		residential
"5028"	E 206th St		residential
"5029"	Whitney Ave		residential
"5030"	3rd St		residential
"5031"	Hale Ave		residential
"5032"	Juniper Blvd N		residential
"5033"	Forley St		residential
"5034"	55th Ave		residential
"5035"	St James Ave		residential
"5036"	Drake St		residential
"5037"	Indiana Ave		residential
"5038"			residential
"5039"	E Gun Hill Rd		residential
"5040"			motorway
"5041"	Berriman St		residential
"5042"	Elmira Loop		residential
"5043"	75th Pl		residential
"5044"	Barbey St		residential
"5045"	Elmhurst Ave		residential
"5046"	Wheeler Ave		residential
"5047"	Major Deegan Serv Rd		unclassified
"5048"	Major Deegan Serv Rd		unclassified
"5049"	89th St		residential
"5050"	Madison St		residential
"5051"			residential
"5052"	62nd Ave		residential
"5053"	2nd St		residential
"5054"	71st Pl		residential
"5055"	Edsall Ave		residential
"5056"	Hull Ave		residential
"5057"	54th Ave		residential
"5058"	81st St		residential
"5059"	Colgate Ave		residential
"5060"	55th Rd		residential
"5061"	Vanhorn St		residential
"5062"	Rochambeau Ave		residential
"5063"	Goldsmith St		residential
"5064"	1st St		residential
"5065"	85th St		residential
"5066"	Foot Br		residential
"5067"			motorway_link
"5068"	Perry Ave		residential
"5069"	Food Center Dr		residential
"5070"	Avenue B		residential
"5071"	Macnish St		residential
"5072"		yes	motorway_link
"5073"	90th St		residential
"5074"	Norwood Ave		residential
"5075"	Elder Ave		residential
"5076"	Mosholu Pky N		residential
"5077"	Jerome St		residential
"5078"	Atkins Ave		residential
"5079"	Marine Parkway Br Approach		residential
"5080"	76th St		residential
"5081"	E 233rd St		residential
"5082"	Major Deegan Expy		motorway
"5083"			residential
"5084"	56th Ave		residential
"5085"	70th Ave		residential
"5086"	Hornell Loop		residential
"5087"	Decatur Ave		residential
"5088"	55th Ave		residential
"5089"	72nd St		residential
"5090"	Food Center Rd		residential
"5091"	E 212th St		residential
"5092"	Ocean Pr		footway
"5093"			residential
"5094"	Geneva Loop		residential
"5095"	82nd St		residential
"5096"	Elbertson St		residential
"5097"	Evergreen Ave		residential
"5098"	E 173rd St		residential
"5099"	Ketcham Pl		residential
"5100"			motorway_link
"5101"	Beach Channel Dr		tertiary
"5102"	Mosholu Pky		residential
"5103"	Louisianna Ave		residential
"5104"	Seaview Ave		residential
"5105"	Bainbridge Ave		residential
"5106"	E 207th St		residential
"5107"	58th Ave		residential
"5108"	Van Loon St		residential
"5109"	Reservoir Oval East		residential
"5110"	Reservoir Oval  W		residential
"5111"	25th Ave		residential
"5112"	Avenue C		residential
"5113"	Warwick St		residential
"5114"	Boynton Ave		residential
"5115"	E 213th St		residential
"5116"	Rochambeau Ave		residential
"5117"	Vandalia Ave		residential
"5118"	Claremont Ter		residential
"5119"	Montauk Ave		residential
"5120"	Corona Ave		tertiary
"5121"	90th St		residential
"5122"	E 204th St		residential
"5123"	E 205th St		residential
"5124"	Bryant Ave		residential
"5125"	67th Rd		residential
"5126"	55th Rd		residential
"5127"	77th St		residential
"5128"	75th Pl		residential
"5129"	Furmanville Ave		residential
"5130"	Dongan Ave		residential
"5131"	Logan St		residential
"5132"			footway
"5133"	67th Dr		residential
"5134"	65th Dr		residential
"5135"	91st St		residential
"5136"	72nd Pl		residential
"5137"	84th St		residential
"5138"	83rd St		residential
"5139"	90th St		residential
"5140"	90th Pl		residential
"5141"	24th Rd		residential
"5142"	Bryant Ave		residential
"5143"	Border Ave		residential
"5144"	24th Ave		residential
"5145"	68th Ave		residential
"5146"	Wheeler Ave		residential
"5147"			residential
"5148"	77th Ave		residential
"5149"	Bronx St		residential
"5150"	Seabury St		residential
"5151"	66th Dr		residential
"5152"	Ward Ave		residential
"5153"	60th Ave		residential
"5154"	Queens Midtown Expy		residential
"5155"	68th Rd		residential
"5156"	92nd St		residential
"5157"	St James Ave		residential
"5158"	43rd Ave		residential
"5159"	Avenue D		residential
"5160"			service
"5161"	83rd Pl		residential
"5162"	E 202nd St		residential
"5163"	Milford St		residential
"5164"	57th Rd		residential
"5165"	Reeder St		residential
"5166"			service
"5167"	91st St		residential
"5168"	69th Ave		residential
"5169"	Gray St		residential
"5170"	Haspel St		residential
"5171"	56th Ave		residential
"5172"	77th Pl		residential
"5173"	Bronx Park Rd		residential
"5174"			service
"5175"	E 177th St		residential
"5176"	E 177th St		residential
"5177"	Devoe Ave		residential
"5178"	73rd St		residential
"5179"	E 211th St		residential
"5180"	60th Rd		residential
"5181"	Wayne Ave		residential
"5182"	Cook Ave		residential
"5183"	Bronx Park Rd		residential
"5184"			service
"5185"	Elder Ave		residential
"5186"	Wyatt St		residential
"5187"	88th St		residential
"5188"			footway
"5189"	Indiana Ave		residential
"5190"	Ward Ave		residential
"5191"	Richmond St		residential
"5192"	Foot Br		residential
"5193"			service
"5194"	69th Rd		residential
"5195"	84th St		residential
"5196"			residential
"5197"	55th Rd		residential
"5198"	75th St		residential
"5199"	54th Ave		residential
"5200"	Denman St		residential
"5201"			motorway
"5202"	Dinsmore Pl		residential
"5203"	E 203rd St		residential
"5204"		yes	motorway
"5205"	93rd St		residential
"5206"			motorway
"5207"			service
"5208"	58th Ave		residential
"5209"	Avenue E		residential
"5210"			motorway_link
"5211"			motorway_link
"5212"	70th Ave		residential
"5213"	51st Ave		residential
"5214"	Manor Ave		residential
"5215"	66th Rd		residential
"5216"	"E Fordham Rd; Pelham Pky S; Bronx and Pelham Pky"		"primary; residential; motorway_link; residential"
"5217"	Bronx and Pelham Pky		residential
"5218"	78th St		residential
"5219"	77th St		residential
"5220"			motorway_link
"5221"	Justice Ave		residential
"5222"	Justice Ave		residential
"5223"	Tryon Ave		residential
"5224"	87th St		residential
"5225"	Boynton Ave		residential
"5226"	74th St		residential
"5227"	45th Ave		residential
"5228"			residential
"5229"	Cross Bronx Exwy Service Road		unclassified
"5230"	Case St		residential
"5231"	E 179th St		residential
"5232"			residential
"5233"	84th Pl		residential
"5234"	Montauk Ave		residential
"5235"	Avenue F		residential
"5236"			residential
"5237"	Chestnut St		residential
"5238"	Bronx Park Ave		residential
"5239"	Stratford Ave		residential
"5240"	Holt Pl		residential
"5241"	Cooper Ave		tertiary
"5242"	52nd Ave		residential
"5243"	Qn Midtown Expressway Exit Eb		motorway
"5244"	Lebanon St		residential
"5245"			service
"5246"	E 235th St		residential
"5247"	94th St		tertiary
"5248"	72nd Ln		residential
"5249"	57th Rd		residential
"5250"			motorway_link
"5251"	94th St		tertiary
"5252"	82nd Pl		residential
"5253"	94th St		tertiary
"5254"	79th St		residential
"5255"	76th St		residential
"5256"	77th Pl		residential
"5257"	71st Ave		residential
"5258"			tertiary
"5259"	61st Rd		residential
"5260"			tertiary
"5261"	78th Ave		residential
"5262"	Jackson Mill Rd		residential
"5263"	Wells St		residential
"5264"	94th St		tertiary
"5265"	Ditmars Blvd		tertiary
"5266"			tertiary
"5267"			tertiary
"5268"	Morris Park Ave		residential
"5269"	Putnam Pl		residential
"5270"	90th St		residential
"5271"	50th Ave		residential
"5272"	Kings College Pl		residential
"5273"	74th St		residential
"5274"			motorway_link
"5275"	E 236th St		residential
"5276"			residential
"5277"	60th Rd		residential
"5278"			motorway_link
"5279"	E 178th St		residential
"5280"	85th St		residential
"5281"			residential
"5282"	61st Dr		residential
"5283"	Herkimer Pl		residential
"5284"			motorway_link
"5285"	Euclid Ave		residential
"5286"	53rd Ave		residential
"5287"	Morrison Ave		residential
"5288"	Reservoir Pl		residential
"5289"	60th Dr		residential
"5290"	58th Ave		residential
"5291"	95th St		residential
"5292"	Gateway Dr		residential
"5293"	Fountain St		residential
"5294"	48th Ave		residential
"5295"	Jackson Mill Rd		residential
"5296"	Benham St		residential
"5297"	78th St		residential
"5298"			motorway_link
"5299"	O'Connel Ct		residential
"5300"	E 209th St		residential
"5301"	54th Ave		residential
"5302"	68th Rd		residential
"5303"	Crystal St		residential
"5304"	75th St		residential
"5305"	Edsall Ave		residential
"5306"	Harrod Ave		residential
"5307"			motorway_link
"5308"			service
"5309"	86th St		residential
"5310"	96th St		residential
"5311"	E 211th St		residential
"5312"	69th Ave		residential
"5313"	I-495		motorway
"5314"			service
"5315"			motorway_link
"5316"	Beach Channel Dr		residential
"5317"	Beach Channel Dr		secondary
"5318"	Napier Ave		residential
"5319"	E 237th St		residential
"5320"	Parkside Pl		residential
"5321"	Farragut St		residential
"5322"	59th Ave		residential
"5323"	Qn Midtown Expressway Exit Eb		motorway
"5324"	Cox Pl		residential
"5325"	Lamont Ave		residential
"5326"	Wharton Pl		residential
"5327"	Food Center Rd		residential
"5328"			residential
"5329"	Bronx River Ave		motorway_link
"5330"	Junction Blvd		tertiary
"5331"	91st Pl		residential
"5332"	Qn Midtown Expressway Exit Eb		motorway_link
"5333"			motorway_link
"5334"	83rd St		residential
"5335"	Harrod Pl		residential
"5336"			motorway_link
"5337"	56th Ave		residential
"5338"			motorway_link
"5339"	Dry Harbor Rd		residential
"5340"	81st St		residential
"5341"	86th St		residential
"5342"	96th St		residential
"5343"			motorway_link
"5344"	76th St		residential
"5345"	Hoffman Dr		residential
"5346"	Chestnut St		residential
"5347"	Cowles Ct		residential
"5348"	Hunts Point Co Op Mkt		residential
"5349"	94th St		residential
"5350"	Bruckner Blvd		motorway
"5351"			motorway_link
"5352"	Van Nest Ave		residential
"5353"	63rd Ave		residential
"5354"	77th Ave		residential
"5355"			motorway
"5356"	Crescent St		residential
"5357"	Pine St		residential
"5358"	Aske St		residential
"5359"			residential
"5360"	Glen St		residential
"5361"	Bronx River Pky		motorway
"5362"			motorway_link
"5363"	91st St		residential
"5364"	E 238th St		residential
"5365"	61st Rd		residential
"5366"			motorway_link
"5367"			motorway_link
"5368"			motorway_link
"5369"			motorway_link
"5370"	83rd St		residential
"5371"			motorway_link
"5372"	97th St		residential
"5373"	Weldon St		residential
"5374"	E 209th St		residential
"5375"	Vanhorn St		residential
"5376"	60th Ave		residential
"5377"			service
"5378"			motorway_link
"5379"	34th Rd		residential
"5380"	Metcalf Ave		residential
"5381"	79th St		residential
"5382"			residential
"5383"	64th Rd		residential
"5384"	Morrison Ave		motorway
"5385"	Bruckner Blvd		motorway
"5386"			motorway_link
"5387"	Crescent Ter		residential
"5388"			motorway_link
"5389"	Crescent St		residential
"5390"	Cypress Ct		residential
"5391"	Morrison Ave		residential
"5392"			residential
"5393"			motorway_link
"5394"			service
"5395"			residential
"5396"	97th St		residential
"5397"			footway
"5398"	Doscher St		residential
"5399"			motorway_link
"5400"	83rd Pl		residential
"5401"	Dry Harbor Rd		residential
"5402"	Dry Harbor Rd		residential
"5403"	Beach Channel Dr		residential
"5404"	69th Dr		residential
"5405"	78th St		residential
"5406"	79th Pl		residential
"5407"	84th Pl		residential
"5408"			motorway_link
"5409"			residential
"5410"	Rockaway Beach Blvd		residential
"5411"	McKinley Ave		residential
"5412"	Danforth St		residential
"5413"			motorway_link
"5414"	79th Pl		residential
"5415"			motorway_link
"5416"	Euclid Ave		residential
"5417"	Pine St		residential
"5418"			motorway_link
"5419"	Oneida Ave		residential
"5420"	Fteley Ave		residential
"5421"			motorway_link
"5422"	Hill St		residential
"5423"	Kiely Pl		residential
"5424"	60th Rd		residential
"5425"	22nd Dr		residential
"5426"	98th St		residential
"5427"	Bronx River Pky		motorway
"5428"	95th St		residential
"5429"	Hemlock St		residential
"5430"			motorway_link
"5431"	Euclid Ave		residential
"5432"	Bronx River Pky		motorway
"5433"	Adler Pl		residential
"5434"			motorway_link
"5435"			motorway_link
"5436"	Gleason Ave		residential
"5437"	Bronx River Ave		residential
"5438"	97th St		residential
"5439"			motorway_link
"5440"	Cross Bronx Service Road  N		unclassified
"5441"	80th St		residential
"5442"	Bx River Pkwy Rd		residential
"5443"			motorway_link
"5444"	Campus Pl		residential
"5445"	92nd St		residential
"5446"	94th St		residential
"5447"			motorway
"5448"			motorway_link
"5449"	79th St		residential
"5450"			motorway_link
"5451"	77th Ave		residential
"5452"	Adams St		residential
"5453"	Queens Blvd	yes	primary
"5454"	40th Rd		residential
"5455"			motorway_link
"5456"	Queens Blvd	yes	primary
"5457"	Croes Ave		residential
"5458"			motorway_link
"5459"	82nd St		residential
"5460"	60th Dr		residential
"5461"	Bruckner Blvd		residential
"5462"	79th Pl		residential
"5463"	40th Dr		residential
"5464"	34th Rd		residential
"5465"			motorway_link
"5466"			motorway_link
"5467"	Soundview Ave		residential
"5468"	41st Ave		residential
"5469"			motorway_link
"5470"	Metcalf Ave		residential
"5471"	99th St		residential
"5472"	Dr Theodore Kazimiroff Blvd		residential
"5473"	41st Rd		residential
"5474"			motorway_link
"5475"			motorway_link
"5476"	Loring Ave		residential
"5477"	Autumn Ave		residential
"5478"	Woodhaven Blvd		secondary
"5479"	Noble Ave		residential
"5480"	Boston Rd		residential
"5481"			motorway_link
"5482"	Warren St		residential
"5483"	Mansion St		residential
"5484"			motorway_link
"5485"	71st Ave		residential
"5486"	42nd Ave		residential
"5487"	Woodhaven Blvd		secondary
"5488"	Van Buren St		residential
"5489"	79th Pl		residential
"5490"	Wetherole St		residential
"5491"	Rockaway Beach Blvd		residential
"5492"	Pine St		residential
"5493"			motorway_link
"5494"	79th Pl		residential
"5495"			residential
"5496"	93rd St		residential
"5497"	Booth St		residential
"5498"	Eliot Ave		residential
"5499"			residential
"5500"			motorway
"5501"	Bruckner Blvd		residential
"5502"			motorway_link
"5503"	E 239th St		residential
"5504"	95th St		residential
"5505"			motorway_link
"5506"	77th Ave		residential
"5507"	Alderton St		residential
"5508"	Hor Harding Expressway en Eb		motorway
"5509"	Noble Ave		residential
"5510"	49th Ave		residential
"5511"	Kepler Ave		residential
"5512"	84th Pl		residential
"5513"	62nd Dr		residential
"5514"	Pelham Pky N		residential
"5515"	Bronx Park  E		residential
"5516"	Metcalf Ave		residential
"5517"	Story Ave		residential
"5518"	Melville St		residential
"5519"	Reiss Pl		residential
"5520"	Lydig Ave		residential
"5521"	40th Rd		residential
"5522"	Blake Ave		residential
"5523"	Lincoln Ave		residential
"5524"	77th Rd		residential
"5525"			motorway_link
"5526"	Thwaites Pl		residential
"5527"	Holly St		residential
"5528"			motorway_link
"5529"	99th St		residential
"5530"	100th St		residential
"5531"	94th St		residential
"5532"			motorway_link
"5533"	O Brien Pl		residential
"5534"	Austin St		residential
"5535"	Rockaway Beach Blvd		tertiary
"5536"	44th Ave		residential
"5537"	Forest Park Dr		residential
"5538"	J Robinson Parkway Exit Eb		residential
"5539"	94th St		residential
"5540"	45th Ave		residential
"5541"	Fteley Ave		residential
"5542"	Valentine Pl		residential
"5543"	62nd Ave		residential
"5544"			motorway_link
"5545"	Woodhaven Blvd		secondary
"5546"	Alstyne Ave		residential
"5547"	Waring Ave		residential
"5548"	Dumont Ave		residential
"5549"	Burke Ave		residential
"5550"	Bronx Blvd		residential
"5551"	Adee Ave		residential
"5552"	46th Ave		residential
"5553"	Lafayette Ave		residential
"5554"	Arnow Ave		residential
"5555"	Magenta St		residential
"5556"	Mace Ave		residential
"5557"			motorway_link
"5558"	Crescent St		residential
"5559"	Britton St		residential
"5560"	Fteley Ave		residential
"5561"	27th Ave		residential
"5562"	Allerton Ave		residential
"5563"	Rosewood St		residential
"5564"	Woodhaven Blvd		secondary
"5565"	Banyer Pl		residential
"5566"	Clason Point Ln		residential
