ID	NAME	ONEWAY	TYPE
"239"	Parkville Ave		residential
"240"	E 69th St		residential
"241"	S 11th St		residential
"242"	E 9th St		residential
"243"			motorway_link
"244"	S 5th St		residential
"245"	Sawmill Ave		residential
"246"	Dorchester Rd		residential
"247"			motorway_link
"248"	Cathedral Pky		residential
"249"	Oceanview Ave		residential
"250"	Henry Hudson Pky		motorway
"251"	Ter Br		residential
"252"	S 2nd St		residential
"253"	E 70th St		residential
"254"	W 111th St		residential
"255"	Rush St		residential
"256"	Argyle Rd		residential
"257"	Williamsburg Brg		primary
"258"			motorway_link
"259"	Manhattan Ct		residential
"260"	Shore Pky N		residential
"261"	Washington Ave		secondary
"262"	South St		residential
"263"	Brighton Ct		residential
"264"	Dunham Pl		residential
"265"	Ditmas Ave		residential
"266"	Morton St		residential
"267"	Hill Dr		residential
"268"	Grand St		residential
"269"	Beach Walk		footway
"270"	E 10th St		residential
"271"	Midwood Trail		footway
"272"	E 71st St		residential
"273"	Underhill Ave	no	residential
"274"	Gee Ave		residential
"275"	West Dr		residential
"276"			secondary
"277"	Wythe Ave		residential
"278"	S 4th St		residential
"279"			service
"280"	West 113th St		residential
"281"	W 112th St		residential
"282"	Washington Ave		secondary
"283"	Central Park Driveway		residential
"284"	Ocean Ct		residential
"285"	Roder Ave		residential
"286"	S 10th St		residential
"287"	Clymer St		residential
"288"	Lincoln Pl		residential
"289"	Brighton 1st St		residential
"290"	Parkway Ct		residential
"291"			footway
"292"	S 3rd St		residential
"293"	W 113th St		residential
"294"	14th Ave		residential
"295"	S 9th St		residential
"296"	Brighton 1st Ln		residential
"297"	E 72nd St		residential
"298"	Rugby Rd		residential
"299"	E 48th St		residential
"300"	W 114th St		residential
"301"	Brighton 1st Ter		residential
"302"	Brighton 1st Walk		residential
"303"	Brighton 1st Rd		residential
"304"	79th St Transverse		residential
"305"	Hall St		residential
"306"	Brighton 1st Ct		residential
"307"			motorway_link
"308"	Glenwood Rd		residential
"309"	Boulevard Ct		residential
"310"	River St		residential
"311"	Brightwater Ct		residential
"312"	Brighton 2nd Ln		residential
"313"	Welding Rd		residential
"314"	Taylor St		residential
"315"	Mitchell Pl		residential
"316"	E 73rd St		residential
"317"	W 115th St		residential
"318"	Banner 3rd Ter		residential
"319"	Brighton 1st Pl		residential
"320"	Banner 3rd Rd		residential
"321"	S 1st St		residential
"322"	Park Ave		residential
"323"	Corbin Ct		residential
"324"	79th St Transverse		residential
"325"	Parade Pl		residential
"326"	Marlborough Rd		residential
"327"	N 1st St		residential
"328"	Hill Dr		residential
"329"	E 74th St		residential
"330"	Berry St		residential
"331"	Brighton 1st Path		residential
"332"	Brighton 2nd Pl		residential
"333"	Brighton 3rd St		residential
"334"	Brighton 2nd Walk		residential
"335"	W 116th St		residential
"336"	Wilson St		residential
"337"	Brighton 1st Pl		residential
"338"	Brighton 2nd St		residential
"339"	Ryerson St		residential
"340"	Woodruff Ave		residential
"341"	Juliana Pl		residential
"342"	Morton St		residential
"343"	Brighton 2 Path		residential
"344"	Brighton 3rd Rd		residential
"345"	E 75th St		residential
"346"	Metropolitan Ave		residential
"347"	Brighton 3rd St		residential
"348"			motorway_link
"349"	Shore Pky S		residential
"350"	Bergen St		residential
"351"	Brighton 3rd Ct		residential
"352"	Beekman Pl		residential
"353"	E 16th St		residential
"354"	Crooke Ave		residential
"355"	Brighton 3rd Walk		residential
"356"	E Lake Dr		residential
"357"	Ross St		residential
"358"	St James Pl		residential
"359"	E 76th St		residential
"360"	Brighton 3rd Ln		residential
"361"	Athlone Ct		residential
"362"	N 3rd St		residential
"363"	E 12th St		residential
"364"	E Lake Dr		residential
"365"	Claremont Ave		residential
"366"	Crawford Ave		residential
"367"	Cary Ct		residential
"368"			motorway_link
"369"	Wythe Pl		residential
"370"	Taylor St		residential
"371"	E 12th St		residential
"372"	Grand Ave		residential
"373"	Bedford Ave		residential
"374"			motorway_link
"375"	Lancaster Ave		residential
"376"	Fulton St		secondary
"377"	Brighton 3 Pl		residential
"378"	E 77th St		residential
"379"	97th St Transverse		residential
"380"	Ryerson St		residential
"381"	Brighton 4th St		residential
"382"	Clifton Pl		residential
"383"	Rodney St		residential
"384"	Brighton 4th Ct		residential
"385"	Bedford Ave		residential
"386"	W 119th St		residential
"387"	Brighton 4th Ter		residential
"388"			motorway_link
