OBJECTID	ID	NAME	ALT_NAME	CROSS_ST	LONG_NAME	LABEL	BOROUGH	NGHBHD	ROUTES	TRANSFERS	COLOR	EXPRESS	CLOSED
14	131.0000000000	176th St		Jerome Ave	176th St (4) Bronx	176th St (4)	Bronx		"4"	"4"	GREEN		
15	212.0000000000	182nd St	183rd St	Grand Concourse	"182nd St / 183rd St (B,D) Bronx"	"182nd St / 183rd St (B,D)"	Bronx		"B,D"	"B,D"	ORANGE		
16	133.0000000000	183rd St		Jerome Ave	183rd St (4) Bronx	183rd St (4)	Bronx		"4"	"4"	GREEN		
17	216.0000000000	205th St	Norwood	Bainbridge Ave	205th St / Norwood (D) Bronx	205th St / Norwood (D)	Bronx		D	D	ORANGE		
18	60.0000000000	219th St		White Plains Rd	"219th St (2,5) Bronx"	"219th St (2,5)"	Bronx		"2,5"	"2,5"	RED-GREEN		
19	61.0000000000	225th St		White Plains Rd	"225th St (2,5) Bronx"	"225th St (2,5)"	Bronx		"2,5"	"2,5"	RED-GREEN		
20	36.0000000000	231st St		Broadway	231st St (1) Bronx	231st St (1)	Bronx		"1"	"1"	RED		
21	62.0000000000	233rd St		White Plains Rd	"233rd St (2,5) Bronx"	"233rd St (2,5)"	Bronx		"2,5"	"2,5"	RED-GREEN		
22	37.0000000000	238th St		Broadway	238th St (1) Bronx	238th St (1)	Bronx		"1"	"1"	RED		
23	64.0000000000	241st St	Wakefield	White Plains Rd	241st St / Wakefield (2) Bronx	241st St / Wakefield (2)	Bronx		"2"	"2"	RED		
24	38.0000000000	242nd St	Van Cortlandt Park	Broadway	242nd St (1) Bronx	242nd St (1)	Bronx		"1"	"1"	RED		
25	296.0000000000	W 4th St		6th Ave	"W 4th St (B,D,F,V) Manhattan"	"W 4th St (B,D,F,V)"	Manhattan		"B,D,F,V"	"A,B,C,D,E,F,V"	ORANGE	express	
26	139.0000000000	3rd Ave	138th St	138th St	3rd Ave / 138th St (6) Bronx	3rd Ave / 138th St (6)	Bronx		"6"	"6"	GREEN	express	
27	46.0000000000	3rd Ave	149th St	149th St	"3rd Ave / 149th St (2,5) Bronx"	"3rd Ave / 149th St (2,5)"	Bronx		"2,5"	"2,5"	RED-GREEN	express	
28	57.0000000000	Allerton Ave		White Plains Rd	"Allerton Ave (2,5) Bronx"	"Allerton Ave (2,5)"	Bronx		"2,5"	"2,5"	RED-GREEN		
29	68.0000000000	Baychester Ave		Tillotson Ave	Baychester Ave (5) Bronx	Baychester Ave (5)	Bronx		"5"	"5"	GREEN		
30	215.0000000000	Bedford Park Blvd		Grand Concourse	"Bedford Park Blvd (B,D) Bronx"	"Bedford Park Blvd (B,D)"	Bronx		"B,D"	"B,D"	ORANGE		
31	136.0000000000	Bedford Park Blvd	Lehman College	Jerome Ave	Bedford Park Blvd / Lehman College (4) Bronx	Bedford Park Blvd / Lehman College (4)	Bronx		"4"	"4"	GREEN		
32	55.0000000000	Bronx Park East		White Plains Rd	"Bronx Park East (2,5) Bronx"	"Bronx Park East (2,5)"	Bronx		"2,5"	"2,5"	RED-GREEN		
33	140.0000000000	Brook Ave		E 138th St	Brook Ave (6) Bronx	Brook Ave (6)	Bronx		"6"	"6"	GREEN		
34	155.0000000000	Buhre Ave		Westchester Ave	Buhre Ave (6) Bronx	Buhre Ave (6)	Bronx		"6"	"6"	GREEN		
35	58.0000000000	Burke Ave		White Plains Rd	"Burke Ave (2,5) Bronx"	"Burke Ave (2,5)"	Bronx		"2,5"	"2,5"	RED-GREEN		
36	132.0000000000	Burnside Ave		Jerome Ave	Burnside Ave (4) Bronx	Burnside Ave (4)	Bronx		"4"	"4"	GREEN		
37	151.0000000000	Castle Hill Ave		Westchester Ave	Castle Hill Ave (6) Bronx	Castle Hill Ave (6)	Bronx		"6"	"6"	GREEN		
38	141.0000000000	Cypress Ave		E 138th St	Cypress Ave (6) Bronx	Cypress Ave (6)	Bronx		"6"	"6"	GREEN		
39	69.0000000000	Dyre Ave	Eastchester	233rd St	Dyre Ave / Eastchester (5) Bronx	Dyre Ave / Eastchester (5)	Bronx		"5"	"5"	GREEN		
40	142.0000000000	E 143rd St	St Mary's St	Southern Blvd	E 143rd St / St Mary's St (6) Bronx	E 143rd St / St Mary's St (6)	Bronx		"6"	"6"	GREEN		
41	143.0000000000	E 149th St		Southern Blvd	E 149th St (6) Bronx	E 149th St (6)	Bronx		"6"	"6"	GREEN		
42	150.0000000000	E 177th St	Parkchester	Westchester Ave	E 177th St / Parkchester (6) Bronx	E 177th St / Parkchester (6)	Bronx		"6"	"6"	GREEN	express	
43	54.0000000000	E 180th St		Morris Park Ave	"E 180th St (2,5) Bronx"	"E 180th St (2,5)"	Bronx		"2,5"	"2,5"	RED-GREEN	express	
44	53.0000000000	E Tremont Ave	West Farms Sq	Boston Rd	"E Tremont Ave / West Farms Sq (2,5) Bronx"	"E Tremont Ave / West Farms Sq (2,5)"	Bronx		"2,5"	"2,5"	RED-GREEN		
45	147.0000000000	Elder Ave		Westchester Ave	Elder Ave (6) Bronx	Elder Ave (6)	Bronx		"6"	"6"	GREEN		
46	213.0000000000	Fordham Rd		Grand Concourse	"Fordham Rd (B,D) Bronx"	"Fordham Rd (B,D)"	Bronx		"B,D"	"B,D"	ORANGE	express	
47	134.0000000000	Fordham Rd		Jerome Ave	Fordham Rd (4) Bronx	Fordham Rd (4)	Bronx		"4"	"4"	GREEN		
48	51.0000000000	Freeman St		Southern Blvd	"Freeman St (2,5) Bronx"	"Freeman St (2,5)"	Bronx		"2,5"	"2,5"	RED-GREEN		
49	67.0000000000	Gun Hill Rd		Seymour Ave	Gun Hill Rd (5) Bronx	Gun Hill Rd (5)	Bronx		"5"	"5"	GREEN		
50	59.0000000000	Gun Hill Rd		White Plains Rd	"Gun Hill Rd (2,5) Bronx"	"Gun Hill Rd (2,5)"	Bronx		"2,5"	"2,5"	RED-GREEN		
51	145.0000000000	Hunts Point Ave		Southern Blvd	Hunts Point Ave (6) Bronx	Hunts Point Ave (6)	Bronx		"6"	"6"	GREEN	express	
52	49.0000000000	Intervale Ave		Westchester Ave	"Intervale Ave (2,5) Bronx"	"Intervale Ave (2,5)"	Bronx		"2,5"	"2,5"	RED-GREEN		
53	47.0000000000	Jackson Ave		Westchester Ave	"Jackson Ave (2,5) Bronx"	"Jackson Ave (2,5)"	Bronx		"2,5"	"2,5"	RED-GREEN		
54	214.0000000000	Kingsbridge Rd		Grand Concourse	"Kingsbridge Rd (B,D) Bronx"	"Kingsbridge Rd (B,D)"	Bronx		"B,D"	"B,D"	ORANGE		
55	135.0000000000	Kingsbridge Rd		Jerome Ave	Kingsbridge Rd (4) Bronx	Kingsbridge Rd (4)	Bronx		"4"	"4"	GREEN		
56	144.0000000000	Longwood Ave		Southern Blvd	Longwood Ave (6) Bronx	Longwood Ave (6)	Bronx		"6"	"6"	GREEN		
