OBJECTID	ID	NAME	ALT_NAME	CROSS_ST	LONG_NAME	LABEL	BOROUGH	NGHBHD	ROUTES	TRANSFERS	COLOR	EXPRESS	CLOSED
170	288.0000000000	Greenpoint Ave		Manhattan Ave	Greenpoint Ave (G) Brooklyn	Greenpoint Ave (G)	Brooklyn		G	G	LIME		
171	453.0000000000	Halsey St		Wyckoff Ave	Halsey St (L) Brooklyn	Halsey St (L)	Brooklyn		L	L	GREY		
172	317.0000000000	Halsey St		Broadway	Halsey St (J) Brooklyn	Halsey St (J)	Brooklyn		J	J	BROWN		
173	311.0000000000	Hewes St		Broadway	"Hewes St (J,M) Brooklyn"	"Hewes St (J,M)"	Brooklyn		"J,M"	"J,M"	BROWN		
174	219.0000000000	High St		Cadman Plaza East	"High St (A,C) Brooklyn"	"High St (A,C)"	Brooklyn		"A,C"	"A,C"	BLUE	express	
175	75.0000000000	Hoyt St		Fulton Mall	"Hoyt St (2,3) Brooklyn"	"Hoyt St (2,3)"	Brooklyn		"2,3"	"2,3"	RED		
176	221.0000000000	Hoyt St	Schermerhorn St	Schermerhorn St	"Hoyt St / Schermerhorn St (A,C,G) Brooklyn"	"Hoyt St / Schermerhorn St (A,C,G)"	Brooklyn		"A,C,G"	"A,C,G"	BLUE-LIME	express	
177	220.0000000000	Jay St	Borough Hall	Fulton Mall	"Jay St / Borough Hall (A,C,F) Brooklyn"	"Jay St / Borough Hall (A,C,F)"	Brooklyn		"A,C,F"	"A,C,F"	BLUE-ORANGE	express	
178	450.0000000000	Jefferson St		Wyckoff Ave	Jefferson St (L) Brooklyn	Jefferson St (L)	Brooklyn		L	L	GREY		
179	88.0000000000	Junius St		Livonia Ave	Junius St (3) Brooklyn	Junius St (3)	Brooklyn		"3"	"3"	RED-GREEN		
180	394.0000000000	Kings Hwy		E 16th St	"Kings Hwy (B,Q) Brooklyn"	"Kings Hwy (B,Q)"	Brooklyn		"B,Q"	"B,Q"	ORANGE-YELLOW	express	
181	433.0000000000	Kings Hwy		W 7th St	Kings Hwy (N) Brooklyn	Kings Hwy (N)	Brooklyn		N	N	YELLOW		
182	353.0000000000	Kings Hwy		McDonald Ave	Kings Hwy (F) Brooklyn	Kings Hwy (F)	Brooklyn		F	F	ORANGE		
183	83.0000000000	Kingston Ave		Eastern Pky	Kingston Ave (3) Brooklyn	Kingston Ave (3)	Brooklyn		"3"	"3"	RED-GREEN		
184	226.0000000000	Kingston-Throop Aves		Fulton St	Kingston-Throop Aves (C) Brooklyn	Kingston-Throop Aves (C)	Brooklyn		C	C	BLUE		
185	333.0000000000	Knickerbocker Ave		Myrtle Ave	Knickerbocker Ave (M) Brooklyn	Knickerbocker Ave (M)	Brooklyn		M	M	BROWN		
186	315.0000000000	Kosciusko St		Broadway	Kosciusko St (J) Brooklyn	Kosciusko St (J)	Brooklyn		J	J	BROWN		
187	222.0000000000	Lafayette Ave		Fulton St	Lafayette Ave (C) Brooklyn	Lafayette Ave (C)	Brooklyn		C	C	BLUE		
188	380.0000000000	Lawrence St	MetroTech	Willoughby St	"Lawrence St / MetroTech (M,R) Brooklyn"	"Lawrence St / MetroTech (M,R)"	Brooklyn		"M,R"	"M,R"	BROWN-YELLOW		
189	231.0000000000	Liberty Ave		Pennsylvania Ave	Liberty Ave (C) Brooklyn	Liberty Ave (C)	Brooklyn		C	C	BLUE		
190	459.0000000000	Livonia Ave		Van Sinderen Ave	Livonia Ave (L) Brooklyn	Livonia Ave (L)	Brooklyn		L	L	GREY		
191	445.0000000000	Lorimer St	Metropolitan Ave	Metropolitan Ave	Lorimer St / Metropolitan Ave (L) Brooklyn	Lorimer St / Metropolitan Ave (L)	Brooklyn		L	"G,L"	GREY		
192	312.0000000000	Lorimer St		Broadway	"Lorimer St (J,M) Brooklyn"	"Lorimer St (J,M)"	Brooklyn		"J,M"	"J,M"	BROWN		
193	310.0000000000	Marcy Ave		Broadway	"Marcy Ave (J,M,Z) Brooklyn"	"Marcy Ave (J,M,Z)"	Brooklyn		"J,M,Z"	"J,M,Z"	BROWN	express	
194	286.0000000000	Metropolitan Ave	Lorimer St	Grand St	Metropolitan Ave / Lorimer St (G) Brooklyn	Metropolitan Ave / Lorimer St (G)	Brooklyn		G	"G,L"	LIME		
195	448.0000000000	Montrose Ave		Bushwick Ave	Montrose Ave (L) Brooklyn	Montrose Ave (L)	Brooklyn		L	L	GREY		
196	449.0000000000	Morgan Ave		Harrison Pl	Morgan Ave (L) Brooklyn	Morgan Ave (L)	Brooklyn		L	L	GREY		
197	452.0000000000	Myrtle Ave	Wyckoff Ave	Wyckoff Ave	Myrtle Ave / Wyckoff Ave (L) Brooklyn	Myrtle Ave / Wyckoff Ave (L)	Brooklyn		L	"L,M"	GREY		
198	314.0000000000	Myrtle Ave		Broadway	"Myrtle Ave (J,M,Z) Brooklyn"	"Myrtle Ave (J,M,Z)"	Brooklyn		"J,M,Z"	"J,M,Z"	BROWN	express	
199	283.0000000000	Myrtle Ave	Willoughby Ave	Marcy Ave	Myrtle Ave / Willoughby Ave (G) Brooklyn	Myrtle Ave / Willoughby Ave (G)	Brooklyn		G	G	LIME		
200	287.0000000000	Nassau Ave		Manhattan Ave	Nassau Ave (G) Brooklyn	Nassau Ave (G)	Brooklyn		G	G	LIME		
201	396.0000000000	Neck Rd		E 16th St	Neck Rd (Q) Brooklyn	Neck Rd (Q)	Brooklyn		Q	Q	YELLOW		
202	356.0000000000	Neptune Ave			Neptune Ave (F) Brooklyn	Neptune Ave (F)	Brooklyn		F	F	ORANGE		
203	76.0000000000	Nevins St		Flatbush Ave	"Nevins St (2,3,4,5) Brooklyn"	"Nevins St (2,3,4,5)"	Brooklyn		"2,3,4,5"	"2,3,4,5"	GREEN-RED	express	
204	460.0000000000	New Lots Ave		Van Sinderen Ave	New Lots Ave (L) Brooklyn	New Lots Ave (L)	Brooklyn		L	L	GREY		
205	91.0000000000	New Lots Ave		Livonia Ave	New Lots Ave (3) Brooklyn	New Lots Ave (3)	Brooklyn		"3"	"3"	RED-GREEN		
206	429.0000000000	New Utrecht Ave	62nd St	62nd St	New Utrecht Ave / 62nd St (N) Brooklyn	New Utrecht Ave / 62nd St (N)	Brooklyn		N	"D,M,N"	YELLOW		
207	390.0000000000	Newkirk Ave		E 16th St	"Newkirk Ave (B,Q) Brooklyn"	"Newkirk Ave (B,Q)"	Brooklyn		"B,Q"	"B,Q"	ORANGE-YELLOW	express	
208	97.0000000000	Newkirk Ave		Nostrand Ave	"Newkirk Ave (2,5) Brooklyn"	"Newkirk Ave (2,5)"	Brooklyn		"2,5"	"2,5"	RED-GREEN		
209	323.0000000000	Norwood Ave		Fulton St	"Norwood Ave (J,Z) Brooklyn"	"Norwood Ave (J,Z)"	Brooklyn		"J,Z"	"J,Z"	BROWN		
210	225.0000000000	Nostrand Ave		Fulton St	"Nostrand Ave (A,C) Brooklyn"	"Nostrand Ave (A,C)"	Brooklyn		"A,C"	"A,C"	BLUE	express	
211	82.0000000000	Nostrand Ave		Eastern Pky	Nostrand Ave (3) Brooklyn	Nostrand Ave (3)	Brooklyn		"3"	"3"	RED-GREEN		
212	399.0000000000	Ocean Pkwy			Ocean Pkwy (Q) Brooklyn	Ocean Pkwy (Q)	Brooklyn		Q	Q	YELLOW		
213	402.0000000000	Pacific St	Brooklyn Academy of Music	4th Ave	"Pacific St / Brooklyn Academy of Music (D,M,N,R) Brooklyn"	"Pacific St / Brooklyn Academy of Music (D,M,N,R)"	Brooklyn		"D,M,N,R"	"B,D,M,N,Q,R,2,3,4,5"	BROWN-ORANGE-YELLOW	express	
214	437.0000000000	Park Pl		Classon Ave	Park Pl (S) Brooklyn	Park Pl (S)	Brooklyn		S	S	GREY		
215	386.0000000000	Parkside Ave		Ocean Ave	Parkside Ave (Q) Brooklyn	Parkside Ave (Q)	Brooklyn		Q	Q	YELLOW		
216	89.0000000000	Pennsylvania Ave		Livonia Ave	Pennsylvania Ave (3) Brooklyn	Pennsylvania Ave (3)	Brooklyn		"3"	"3"	RED-GREEN		
217	92.0000000000	President St		Nostrand Ave	"President St (2,5) Brooklyn"	"President St (2,5)"	Brooklyn		"2,5"	"2,5"	RED-GREEN		
218	405.0000000000	Prospect Ave		4th Ave	"Prospect Ave (M,R) Brooklyn"	"Prospect Ave (M,R)"	Brooklyn		"M,R"	"M,R"	BROWN-YELLOW		
219	385.0000000000	Prospect Park		Empire Blvd	"Prospect Park (B,Q,S) Brooklyn"	"Prospect Park (B,Q,S)"	Brooklyn		"B,Q,S"	"B,Q,S"	MULTI	express	
220	228.0000000000	Ralph Ave		Fulton St	Ralph Ave (C) Brooklyn	Ralph Ave (C)	Brooklyn		C	C	BLUE		
221	229.0000000000	Rockaway Ave		Fulton St	Rockaway Ave (C) Brooklyn	Rockaway Ave (C)	Brooklyn		C	C	BLUE		
222	87.0000000000	Rockaway Ave		Livonia Ave	Rockaway Ave (3) Brooklyn	Rockaway Ave (3)	Brooklyn		"3"	"3"	RED-GREEN		
223	462.0000000000	Rockaway Pky	Canarsie	Glenwood Rd	Rockaway Pky / Canarsie (L) Brooklyn	Rockaway Pky / Canarsie (L)	Brooklyn		L	L	GREY		
224	86.0000000000	Saratoga Ave		Livonia Ave	Saratoga Ave (3) Brooklyn	Saratoga Ave (3)	Brooklyn		"3"	"3"	RED-GREEN		
225	397.0000000000	Sheepshead Bay		E 16th St	"Sheepshead Bay (B,Q) Brooklyn"	"Sheepshead Bay (B,Q)"	Brooklyn		"B,Q"	"B,Q"	ORANGE-YELLOW	express	
226	233.0000000000	Shepherd Ave		Pitkin Ave	Shepherd Ave (C) Brooklyn	Shepherd Ave (C)	Brooklyn		C	C	BLUE		
227	341.0000000000	Smith St	9th St	9th St	"Smith St / 9th St (F,G) Brooklyn"	"Smith St / 9th St (F,G)"	Brooklyn		"F,G"	"F,G"	ORANGE-LIME		
228	93.0000000000	Sterling St		Nostrand Ave	"Sterling St (2,5) Brooklyn"	"Sterling St (2,5)"	Brooklyn		"2,5"	"2,5"	RED-GREEN		
229	458.0000000000	Sutter Ave		Van Sinderen Ave	Sutter Ave (L) Brooklyn	Sutter Ave (L)	Brooklyn		L	L	GREY		
230	85.0000000000	Sutter Ave	Rutland Rd	E 98th St	Sutter Ave / Rutland Rd (3) Brooklyn	Sutter Ave / Rutland Rd (3)	Brooklyn		"3"	"3"	RED-GREEN		
231	403.0000000000	Union St		4th Ave	"Union St (M,R) Brooklyn"	"Union St (M,R)"	Brooklyn		"M,R"	"M,R"	BROWN-YELLOW		
232	227.0000000000	Utica Ave		Fulton St	"Utica Ave (A,C) Brooklyn"	"Utica Ave (A,C)"	Brooklyn		"A,C"	"A,C"	BLUE	express	
233	84.0000000000	Utica Ave	Crown Heights	Eastern Pky	"Utica Ave / Crown Heights (3,4) Brooklyn"	"Utica Ave / Crown Heights (3,4)"	Brooklyn		"3,4"	"3,4"	GREEN-RED	express	
234	232.0000000000	Van Siclen Ave		Pitkin Ave	Van Siclen Ave (C) Brooklyn	Van Siclen Ave (C)	Brooklyn		C	C	BLUE		
235	321.0000000000	Van Siclen Ave		Fulton St	"Van Siclen Ave (J,Z) Brooklyn"	"Van Siclen Ave (J,Z)"	Brooklyn		"J,Z"	"J,Z"	BROWN		
236	90.0000000000	Van Siclen Ave		Livonia Ave	Van Siclen Ave (3) Brooklyn	Van Siclen Ave (3)	Brooklyn		"3"	"3"	RED-GREEN		
237	400.0000000000	W 8th St	NY Aquarium	Surf Ave	"W 8th St / NY Aquarium (F,Q) Brooklyn"	"W 8th St / NY Aquarium (F,Q)"	Brooklyn		"F,Q"	"F,Q"	ORANGE-YELLOW		
238	454.0000000000	Wilson Ave		Moffat St	Wilson Ave (L) Brooklyn	Wilson Ave (L)	Brooklyn		L	L	GREY		
239	94.0000000000	Winthrop St		Nostrand Ave	"Winthrop St (2,5) Brooklyn"	"Winthrop St (2,5)"	Brooklyn		"2,5"	"2,5"	RED-GREEN		
240	334.0000000000	Wyckoff Ave	Myrtle Ave	Myrtle Ave	Wyckoff Ave / Myrtle Ave (M) Brooklyn	Wyckoff Ave / Myrtle Ave (M)	Brooklyn		M	"L,M"	BROWN		
241	303.0000000000	York St		Jay St	York St (F) Brooklyn	York St (F)	Brooklyn		F	F	ORANGE		
242	121.0000000000	103rd St		Lexington Ave	103rd St (6) Manhattan	103rd St (6)	Manhattan		"6"	"6"	GREEN		
243	192.0000000000	103rd St		Central Park West	"103rd St (A,B,C) Manhattan"	"103rd St (A,B,C)"	Manhattan		"A,B,C"	"A,B,C"	BLUE-ORANGE		
244	22.0000000000	103rd St		Broadway	103rd St (1) Manhattan	103rd St (1)	Manhattan		"1"	"1"	RED		
245	122.0000000000	110th St		Lexington Ave	110th St (6) Manhattan	110th St (6)	Manhattan		"6"	"6"	GREEN		
246	193.0000000000	110th St	Cathedral Pky	Central Park West	"110th St / Cathedral Pky (B,C) Manhattan"	"110th St / Cathedral Pky (B,C)"	Manhattan		"B,C"	"B,C"	BLUE-ORANGE		
247	39.0000000000	110th St	Central Park North	Lenox Ave	"110th St / Central Park North (2,3) Manhattan"	"110th St / Central Park North (2,3)"	Manhattan		"2,3"	"2,3"	RED	express	
248	40.0000000000	116th St		Lenox Ave	"116th St (2,3) Manhattan"	"116th St (2,3)"	Manhattan		"2,3"	"2,3"	RED	express	
249	123.0000000000	116th St		Lexington Ave	116th St (6) Manhattan	116th St (6)	Manhattan		"6"	"6"	GREEN		
250	194.0000000000	116th St		8th Ave	"116th St (B,C) Manhattan"	"116th St (B,C)"	Manhattan		"B,C"	"B,C"	BLUE-ORANGE		
251	24.0000000000	116th St	Columbia University	Broadway	116th St / Columbia University (1) Manhattan	116th St / Columbia University (1)	Manhattan		"1"	"1"	RED		
252	41.0000000000	125th St		Lenox Ave	"125th St (2,3) Manhattan"	"125th St (2,3)"	Manhattan		"2,3"	"2,3"	RED	express	
253	124.0000000000	125th St		Lexington Ave	"125th St (4,5,6) Manhattan"	"125th St (4,5,6)"	Manhattan		"4,5,6"	"4,5,6"	GREEN	express	
254	195.0000000000	125th St		St. Nicholas Ave	"125th St (A,B,C,D) Manhattan"	"125th St (A,B,C,D)"	Manhattan		"A,B,C,D"	"A,B,C,D"	BLUE-ORANGE	express	
255	25.0000000000	125th St		Broadway	125th St (1) Manhattan	125th St (1)	Manhattan		"1"	"1"	RED		
256	196.0000000000	135th St		St. Nicholas Ave	"135th St (B,C) Manhattan"	"135th St (B,C)"	Manhattan		"B,C"	"B,C"	BLUE-ORANGE		
257	42.0000000000	135th St		Lenox Ave	"135th St (2,3) Manhattan"	"135th St (2,3)"	Manhattan		"2,3"	"2,3"	RED	express	
258	26.0000000000	137th St	City College	Broadway	137th St / City College (1) Manhattan	137th St / City College (1)	Manhattan		"1"	"1"	RED		
259	43.0000000000	145th St		Lenox Ave	145th St (3) Manhattan	145th St (3)	Manhattan		"3"	"3"	RED	express	
260	197.0000000000	145th St		St. Nicholas Ave	"145th St (A,B,C,D) Manhattan"	"145th St (A,B,C,D)"	Manhattan		"A,B,C,D"	"A,B,C,D"	BLUE-ORANGE	express	
261	27.0000000000	145th St		Broadway	145th St (1) Manhattan	145th St (1)	Manhattan		"1"	"1"	RED		
262	44.0000000000	148th St	Lenox Term	7th Ave	148th St / Lenox Term (3) Manhattan	148th St / Lenox Term (3)	Manhattan		"3"	"3"	RED	express	
263	110.0000000000	14th St	Union Sq	4th Ave	"14th St / Union Sq (4,5,6) Manhattan"	"14th St / Union Sq (4,5,6)"	Manhattan		"4,5,6"	"L,N,Q,R,W,4,5,6"	GREEN	express	
264	294.0000000000	6th Ave	14th St	14th St	"6th Ave / 14th St (F,L,V) Manhattan"	"6th Ave / 14th St (F,L,V)"	Manhattan		"F,L,V"	"F,L,V,1,2,3,9"	GREY-ORANGE		
265	9.0000000000	14th St		7th Ave	"14th St (1,2,3) Manhattan"	"14th St (1,2,3)"	Manhattan		"1,2,3"	"F,L,V,1,2,3"	RED	express	
266	206.0000000000	155th St		8th Ave	"155th St (B,D) Manhattan"	"155th St (B,D)"	Manhattan		"B,D"	"B,D"	ORANGE		
267	198.0000000000	155th St		St. Nicholas Ave	155th St (C) Manhattan	155th St (C)	Manhattan		C	C	BLUE		
268	28.0000000000	157th St		Broadway	157th St (1) Manhattan	157th St (1)	Manhattan		"1"	"1"	RED		
269	199.0000000000	163rd St	Amsterdam Ave	St. Nicholas Ave	163rd St / Amsterdam Ave (C) Manhattan	163rd St / Amsterdam Ave (C)	Manhattan		C	C	BLUE		
270	200.0000000000	168th St	Washington Hts	Broadway	"168th St / Washington Hts (A,C) Manhattan"	"168th St / Washington Hts (A,C)"	Manhattan		"A,C"	"A,C,1,9"	BLUE	express	
271	29.0000000000	168th St	Washington Hts	Broadway	168th St / Washington Hts (1) Manhattan	168th St / Washington Hts (1)	Manhattan		"1"	"A,C,1"	RED		
272	201.0000000000	175th St		Ft Washington Ave	175th St (A) Manhattan	175th St (A)	Manhattan		A	A	BLUE	express	
273	202.0000000000	181st St		Ft Washington Ave	181st St (A) Manhattan	181st St (A)	Manhattan		A	A	BLUE	express	
274	30.0000000000	181st St		St. Nicholas Ave	181st St (1) Manhattan	181st St (1)	Manhattan		"1"	"1"	RED		
275	10.0000000000	18th St		7th Ave	18th St (1) Manhattan	18th St (1)	Manhattan		"1"	"1"	RED		
276	203.0000000000	190th St		Ft Washington Ave	190th St (A) Manhattan	190th St (A)	Manhattan		A	A	BLUE	express	
277	31.0000000000	191st St		St. Nicholas Ave	191st St (1) Manhattan	191st St (1)	Manhattan		"1"	"1"	RED		
278	443.0000000000	1st Ave		14 St	1st Ave (L) Manhattan	1st Ave (L)	Manhattan		L	L	GREY		
279	205.0000000000	207th St	Inwood	Broadway	207th St / Inwood (A) Manhattan	207th St / Inwood (A)	Manhattan		A	A	BLUE	express	
280	33.0000000000	207th St		10th Ave	207th St (1) Manhattan	207th St (1)	Manhattan		"1"	"1"	RED		
281	34.0000000000	215th St		10th Ave	215th St (1) Manhattan	215th St (1)	Manhattan		"1"	"1"	RED		
282	35.0000000000	225th St	Marble Hill	Broadway	225th St / Marble Hill (1) Manhattan	225th St / Marble Hill (1)	Manhattan		"1"	"1"	RED		
283	111.0000000000	23rd St		Park Ave	23rd St (6) Manhattan	23rd St (6)	Manhattan		"6"	"6"	GREEN		
284	183.0000000000	23rd St		8th Ave	"23rd St (C,E) Manhattan"	"23rd St (C,E)"	Manhattan		"C,E"	"C,E"	BLUE		
285	295.0000000000	23rd St		6th Ave	"23rd St (F,V) Manhattan"	"23rd St (F,V)"	Manhattan		"F,V"	"F,V"	ORANGE		
286	370.0000000000	23rd St		Broadway	"23rd St (N,R,W) Manhattan"	"23rd St (N,R,W)"	Manhattan		"N,R,W"	"N,R,W"	YELLOW		
287	11.0000000000	23rd St		7th Ave	23rd St (1) Manhattan	23rd St (1)	Manhattan		"1"	"1"	RED		
288	112.0000000000	28th St		Park Ave	28th St (6) Manhattan	28th St (6)	Manhattan		"6"	"6"	GREEN		
289	369.0000000000	28th St		Broadway	"28th St (N,R,W) Manhattan"	"28th St (N,R,W)"	Manhattan		"N,R,W"	"N,R,W"	YELLOW		
290	12.0000000000	28th St		7th Ave	28th St (1) Manhattan	28th St (1)	Manhattan		"1"	"1"	RED		
291	300.0000000000	2nd Ave	Lower East Side	Houston St	"2nd Ave / Lower East Side (F,V) Manhattan"	"2nd Ave / Lower East Side (F,V)"	Manhattan		"F,V"	"F,V"	ORANGE		
292	113.0000000000	33rd St		Park Ave	33rd St (6) Manhattan	33rd St (6)	Manhattan		"6"	"6"	GREEN		
293	184.0000000000	34th St	Penn Station	8th Ave	"34th St / Penn Station (A,C,E) Manhattan"	"34th St / Penn Station (A,C,E)"	Manhattan		"A,C,E"	"A,C,E"	BLUE	express	
294	368.0000000000	34th St	Herald Sq	Ave of Americas	"34th St / Herald Sq (B,D,F,N,Q,R,V,W) Manhattan"	"34th St / Herald Sq (B,D,F,N,Q,R,V,W)"	Manhattan		"B,D,F,N,Q,R,V,W"	"B,D,F,N,Q,R,V,W"	ORANGE-YELLOW	express	
295	13.0000000000	34th St	Penn Station	7th Ave	"34th St (1,2,3) Manhattan"	"34th St / Penn Station (1,2,3)"	Manhattan		"1,2,3"	"1,2,3"	RED	express	
296	442.0000000000	3rd Ave		14 St	3rd Ave (L) Manhattan	3rd Ave (L)	Manhattan		L	L	GREY		
297	297.0000000000	42nd St	Bryant Park	Ave of Americas	"42nd St / Bryant Park (B,D,F,V) Manhattan"	"42nd St / Bryant Park (B,D,F,V)"	Manhattan		"B,D,F,V"	"B,D,F,V,7"	ORANGE	express	
298	185.0000000000	42nd St	Port Authority Bus Term.	8th Ave	"42nd St / Port Authority Bus Term. (A,C,E) Manhattan"	"42nd St / Port Authority Bus Term. (A,C,E)"	Manhattan		"A,C,E"	"A,C,E,N,Q,R,S,W,1,2,3,7"	BLUE	express	
299	298.0000000000	47th-50th Sts	Rockefeller Center	Ave of Americas	"47th-50th Sts / Rockefeller Center (B,D,F,V) Manhattan"	"47th-50th Sts / Rockefeller Center (B,D,F,V)"	Manhattan		"B,D,F,V"	"B,D,F,V"	ORANGE	express	
300	366.0000000000	49th St		7th Ave	"49th St (N,R,W) Manhattan"	"49th St (N,R,W)"	Manhattan		"N,R,W"	"N,R,W"	YELLOW		
301	186.0000000000	50th St		8th Ave	"50th St (C,E) Manhattan"	"50th St (C,E)"	Manhattan		"C,E"	"C,E"	BLUE		
302	15.0000000000	50th St		Broadway	50th St (1) Manhattan	50th St (1)	Manhattan		"1"	"1"	RED		
303	115.0000000000	51st St		Lexington Ave	51st St (6) Manhattan	51st St (6)	Manhattan		"6"	"E,V,6"	GREEN		
304	365.0000000000	57th St		7th Ave	"57th St (N,Q,R,W) Manhattan"	"57th St (N,Q,R,W)"	Manhattan		"N,Q,R,W"	"N,R,Q,W"	YELLOW	express	
305	299.0000000000	57th St		6th Ave	57th St (F) Manhattan	57th St (F)	Manhattan		F	F	ORANGE		
306	116.0000000000	59th St	Lexington Ave	Lexington Ave	"59th St / Lexington Ave (4,5,6) Manhattan"	"59th St / Lexington Ave (4,5,6)"	Manhattan		"4,5,6"	"F,N,R,W,4,5,6"	GREEN	express	
307	187.0000000000	59th St	Columbus Circle	8th Ave	"59th St / Columbus Circle (A,B,C,D) Manhattan"	"59th St / Columbus Circle (A,B,C,D)"	Manhattan		"A,B,C,D"	"A,B,C,D,1"	BLUE-ORANGE	express	
308	16.0000000000	59th St	Columbus Circle	Broadway	59th St / Columbus Circle (1) Manhattan	59th St / Columbus Circle (1)	Manhattan		"1"	"A,B,C,D,1"	RED	express	
309	256.0000000000	5th Ave	53rd St	53rd St	"5th Ave / 53rd St (E,V) Manhattan"	"5th Ave / 53rd St (E,V)"	Manhattan		"E,V"	"E,V"	BLUE-ORANGE	express	
310	364.0000000000	5th Ave		59th St	"5th Ave (N,R,W) Manhattan"	"5th Ave (N,R,W)"	Manhattan		"N,R,W"	"N,R,W"	YELLOW		
311	158.0000000000	5th Ave		42nd St	5th Ave (7) Manhattan	5th Ave (7)	Manhattan		"7"	"B,D,F,V,7"	PURPLE	express	
312	17.0000000000	66th St	Lincoln Center	Broadway	66th St / Lincoln Center (1) Manhattan	66th St / Lincoln Center (1)	Manhattan		"1"	"1"	RED		
313	117.0000000000	68th St	Hunter College	Lexington Ave	68th St / Hunter College (6) Manhattan	68th St / Hunter College (6)	Manhattan		"6"	"6"	GREEN		
314	188.0000000000	72nd St		Central Park West	"72nd St (B,C) Manhattan"	"72nd St (B,C)"	Manhattan		"B,C"	"B,C"	BLUE-ORANGE		
315	18.0000000000	72nd St		Broadway	"72nd St (1,2,3) Manhattan"	"72nd St (1,2,3)"	Manhattan		"1,2,3"	"1,2,3"	RED	express	
316	118.0000000000	77th St		Lexington Ave	77th St (6) Manhattan	77th St (6)	Manhattan		"6"	"6"	GREEN		
317	19.0000000000	79th St		Broadway	79th St (1) Manhattan	79th St (1)	Manhattan		"1"	"1"	RED		
318	255.0000000000	7th Ave		53rd St	"7th Ave (B,D,E) Manhattan"	"7th Ave (B,D,E)"	Manhattan		"B,D,E"	"B,D,E"	BLUE-ORANGE	express	
319	189.0000000000	81st St	Museum of Natural Hist.	Central Park West	"81st St / Museum of Natural Hist. (B,C) Manhattan"	"81st St / Museum of Natural Hist. (B,C)"	Manhattan		"B,C"	"B,C"	BLUE-ORANGE		
320	119.0000000000	86th St		Lexington Ave	"86th St (4,5,6) Manhattan"	"86th St (4,5,6)"	Manhattan		"4,5,6"	"4,5,6"	GREEN	express	
321	190.0000000000	86th St		Central Park West	"86th St (B,C) Manhattan"	"86th St (B,C)"	Manhattan		"B,C"	"B,C"	BLUE-ORANGE		
322	20.0000000000	86th St		Broadway	86th St (1) Manhattan	86th St (1)	Manhattan		"1"	"1"	RED		
323	439.0000000000	8th Ave	14th St	14 St	"8th Ave / 14th St (A,C,E,L) Manhattan"	"8th Ave / 14th St (A,C,E,L)"	Manhattan		"A,C,E,L"	"A,C,E,L"	BLUE-GREY	express	
324	372.0000000000	8th St	New York University	Broadway	"8th St / New York University (N,R,W) Manhattan"	"8th St / New York University (N,R,W)"	Manhattan		"N,R,W"	"N,R,W"	YELLOW		
325	120.0000000000	96th St		Lexington Ave	96th St (6) Manhattan	96th St (6)	Manhattan		"6"	"6"	GREEN		
326	191.0000000000	96th St		Central Park West	"96th St (B,C) Manhattan"	"96th St (B,C)"	Manhattan		"B,C"	"B,C"	BLUE-ORANGE		
327	21.0000000000	96th St		Broadway	"96th St (1,2,3) Manhattan"	"96th St (1,2,3)"	Manhattan		"1,2,3"	"1,2,3"	RED	express	
328	109.0000000000	Astor Pl		4th Ave	Astor Pl (6) Manhattan	Astor Pl (6)	Manhattan		"6"	"6"	GREEN		
329	108.0000000000	Bleecker St	Broadway-Lafayette St	Lafayette Ave	Bleecker St / Broadway-Lafayette St (6) Manhattan	Bleecker St / Broadway-Lafayette St (6)	Manhattan		"6"	"B,D,F,V,6"	GREEN		
330	308.0000000000	Bowery		Delancey St	"Bowery (J,M,Z) Manhattan"	"Bowery (J,M,Z)"	Manhattan		"J,M,Z"	"J,M,Z"	BROWN		
331	102.0000000000	Bowling Green		Broadway	"Bowling Green (4,5) Manhattan"	"Bowling Green (4,5)"	Manhattan		"4,5"	"4,5"	GREEN	express	
332	304.0000000000	Broad St		Wall St	"Broad St (J,M,Z) Manhattan"	"Broad St (J,M,Z)"	Manhattan		"J,M,Z"	"J,M,Z"	BROWN	express	
333	292.0000000000	Broadway-Lafayette St	Bleecker St	Houston St	"Broadway-Lafayette St / Bleecker St (B,D,F,V) Manhattan"	"Broadway-Lafayette St / Bleecker St (B,D,F,V)"	Manhattan		"B,D,F,V"	"B,D,F,V,4,5,6"	ORANGE	express	
334	218.0000000000	Broadway-Nassau St	Fulton St	Fulton St	"Broadway-Nassau St / Fulton St (A,C) Manhattan"	"Broadway-Nassau St / Fulton St (A,C)"	Manhattan		"A,C"	"A,C,J,M,Z,2,3,4,5"	BLUE	express	
335	105.0000000000	Brooklyn Bridge	City Hall	Centre St	"Brooklyn Bridge / City Hall (4,5,6) Manhattan"	"Brooklyn Bridge / City Hall (4,5,6)"	Manhattan		"4,5,6"	"J,M,Z,4,5,6"	GREEN	express	
336	106.0000000000	Canal St		Lafayette Ave	Canal St (6) Manhattan	Canal St (6)	Manhattan		"6"	"J,M,N,Q,R,W,Z,6"	GREEN		
337	179.0000000000	Canal St		6th Ave	"Canal St (A,C,E) Manhattan"	"Canal St (A,C,E)"	Manhattan		"A,C,E"	"A,C,E"	BLUE	express	
338	307.0000000000	Canal St		Centre St	"Canal St (J,M,Z) Manhattan"	"Canal St (J,M,Z)"	Manhattan		"J,M,Z"	"J,M,N,Q,R,W,Z,6"	BROWN	express	
