OBJECTID,Admin_type,Adm2_CAP,ADM2_EN,ADM2_ZH,ADM2_PCODE,ADM1_EN,ADM1_ZH,ADM1_PCODE,ADM0_EN,ADM0_ZH,ADM0_PCODE
"200",Prefecture-level city,Weiyang District,Xi'an,西安市,CN061070,Shaanxi Province,陕西省,CN061,China,中国,CN
"201",Prefecture-level city,Linwei District,Weinan,渭南市,CN061060,Shaanxi Province,陕西省,CN061,China,中国,CN
"202",Prefecture-level city,Yaozhou District,Tongchuan,铜川市,CN061050,Shaanxi Province,陕西省,CN061,China,中国,CN
"203",Prefecture-level city,Qindu District,Xianyang,咸阳市,CN061080,Shaanxi Province,陕西省,CN061,China,中国,CN
"204",Prefecture-level city,Hubin District,Sanmenxia,三门峡市,CN041110,Henan Province,河南省,CN041,China,中国,CN
"205",Prefecture-level city,Yanhu District,Yuncheng,运城市,CN014110,Shanxi Province,山西省,CN014,China,中国,CN
"206",Prefecture-level city,Luolong District,Luoyang,洛阳市,CN041070,Henan Province,河南省,CN041,China,中国,CN
"207",Prefecture-level city,Xinhua District,Pingdingshan,平顶山市,CN041090,Henan Province,河南省,CN041,China,中国,CN
"208",Prefecture-level city,Yancheng District,Luohe,漯河市,CN041060,Henan Province,河南省,CN041,China,中国,CN
"209",Prefecture-level city,Weidu District,Xuchang,许昌市,CN041150,Henan Province,河南省,CN041,China,中国,CN
"210",Prefecture-level city,Zhongyuan District,Zhengzhou,郑州市,CN041160,Henan Province,河南省,CN041,China,中国,CN
"211",Prefecture-level city,Jiefang District,Jiaozuo,焦作市,CN041030,Henan Province,河南省,CN041,China,中国,CN
"212",Prefecture-level city,Cheng District,Jincheng,晋城市,CN014030,Shanxi Province,山西省,CN014,China,中国,CN
"213",Prefecture-level city,Cheng District,Changzhi,长治市,CN014010,Shanxi Province,山西省,CN014,China,中国,CN
"214",Prefecture-level city,Yaodu District,Linfen,临汾市,CN014060,Shanxi Province,山西省,CN014,China,中国,CN
"215",Prefecture-level city,Xinghualing District,Taiyuan,太原市,CN014080,Shanxi Province,山西省,CN014,China,中国,CN
"216",Prefecture-level city,Lishi District,Lüliang,吕梁市,CN014050,Shanxi Province,山西省,CN014,China,中国,CN
"217",Prefecture-level city,Yuci District,Jinzhong,晋中市,CN014040,Shanxi Province,山西省,CN014,China,中国,CN
"218",Prefecture-level city,Congtai District,Handan,邯郸市,CN013040,Hebei Province,河北省,CN013,China,中国,CN
"219",Prefecture-level city,Wenfeng District,Anyang,安阳市,CN041010,Henan Province,河南省,CN041,China,中国,CN
"220",Prefecture-level city,Qibin District,Hebi,鹤壁市,CN041020,Henan Province,河南省,CN041,China,中国,CN
"221",Prefecture-level city,Weibin District,Xinxiang,新乡市,CN041130,Henan Province,河南省,CN041,China,中国,CN
"222",Prefecture-level city,Gulou District,Kaifeng,开封市,CN041050,Henan Province,河南省,CN041,China,中国,CN
"223",Prefecture-level city,Chuanhui District,Zhoukou,周口市,CN041170,Henan Province,河南省,CN041,China,中国,CN
"224",Prefecture-level city,Yingzhou District,Fuyang,阜阳市,CN034060,Anhui Province,安徽省,CN034,China,中国,CN
"225",Prefecture-level city,Tianjia'an District,Huainan,淮南市,CN034090,Anhui Province,安徽省,CN034,China,中国,CN
"226",Prefecture-level city,Bengshan District,Bengbu,蚌埠市,CN034020,Anhui Province,安徽省,CN034,China,中国,CN
"227",Prefecture-level city,Xiangshan District,Huaibei,淮北市,CN034080,Anhui Province,安徽省,CN034,China,中国,CN
"228",Prefecture-level city,Yongqiao District,Suzhou,宿州市,CN034130,Anhui Province,安徽省,CN034,China,中国,CN
"229",Prefecture-level city,Qiaocheng District,Bozhou,亳州市,CN034030,Anhui Province,安徽省,CN034,China,中国,CN
"230",Prefecture-level city,Liangyuan District,Shangqiu,商丘市,CN041120,Henan Province,河南省,CN041,China,中国,CN
"231",Prefecture-level city,Mudan District,Heze,菏泽市,CN037040,Shandong Province,山东省,CN037,China,中国,CN
"232",Prefecture-level city,Hualong District,Puyang,濮阳市,CN041100,Henan Province,河南省,CN041,China,中国,CN
"233",Prefecture-level city,Dongchangfu District,Liaocheng,聊城市,CN037080,Shandong Province,山东省,CN037,China,中国,CN
"234",Prefecture-level city,Qiaodong District,Xingtai,邢台市,CN013100,Hebei Province,河北省,CN013,China,中国,CN
"235",Prefecture-level city,Chang'an District,Shijiazhuang,石家庄市,CN013080,Hebei Province,河北省,CN013,China,中国,CN
"236",Prefecture-level city,Cheng District,Yangquan,阳泉市,CN014100,Shanxi Province,山西省,CN014,China,中国,CN
"237",Prefecture-level city,Xinshi District,Baoding,保定市,CN013010,Hebei Province,河北省,CN013,China,中国,CN
"238",Prefecture-level city,Taocheng District,Hengshui,衡水市,CN013050,Hebei Province,河北省,CN013,China,中国,CN
"239",Prefecture-level city,Decheng District,Dezhou,德州市,CN037020,Shandong Province,山东省,CN037,China,中国,CN
"240",Prefecture-level city,Yunhe District,Cangzhou,沧州市,CN013020,Hebei Province,河北省,CN013,China,中国,CN
"241",Prefecture-level city,Guangyang District,Langfang,廊坊市,CN013060,Hebei Province,河北省,CN013,China,中国,CN
"242",Municipality,,Tianjin Municipality,天津市,CN012010,Tianjin Municipality,天津市,CN012,China,中国,CN
"243",Municipality,,Beijing Municipality,北京市,CN011010,Beijing Municipality,北京市,CN011,China,中国,CN
"244",Prefecture-level city,Qiaoxi District,Zhangjiakou,张家口市,CN013110,Hebei Province,河北省,CN013,China,中国,CN
"245",Prefecture-level city,Lubei District,Tangshan,唐山市,CN013090,Hebei Province,河北省,CN013,China,中国,CN
"246",Prefecture-level city,Haigang District,Qinhuangdao,秦皇岛市,CN013070,Hebei Province,河北省,CN013,China,中国,CN
"247",Prefecture-level city,Shuangqiao District,Chengde,承德市,CN013030,Hebei Province,河北省,CN013,China,中国,CN
"248",Prefecture-level city,Longgang District,Huludao,葫芦岛市,CN021080,Liaoning Province,辽宁省,CN021,China,中国,CN
"249",Prefecture-level city,Shuangta District,Chaoyang,朝阳市,CN021030,Liaoning Province,辽宁省,CN021,China,中国,CN
"250",Prefecture-level city,Hongshan District,Chifeng,赤峰市,CN015040,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN
"251",Prefecture-level city,Taihe District,Jinzhou,锦州市,CN021090,Liaoning Province,辽宁省,CN021,China,中国,CN
"252",Prefecture-level city,Zhanqian District,Yingkou,营口市,CN021140,Liaoning Province,辽宁省,CN021,China,中国,CN
"253",Prefecture-level city,Zhenxing District,Dandong,丹东市,CN021050,Liaoning Province,辽宁省,CN021,China,中国,CN
"254",Prefecture-level city,Baita District,Liaoyang,辽阳市,CN021100,Liaoning Province,辽宁省,CN021,China,中国,CN
"255",Prefecture-level city,Xinglongtai District,Panjin,盘锦市,CN021110,Liaoning Province,辽宁省,CN021,China,中国,CN
"256",Prefecture-level city,Xihe District,Fuxin,阜新市,CN021070,Liaoning Province,辽宁省,CN021,China,中国,CN
"257",Prefecture-level city,Tiedong District,Anshan,鞍山市,CN021010,Liaoning Province,辽宁省,CN021,China,中国,CN
"258",Prefecture-level city,Shenhe District,Shenyang,沈阳市,CN021120,Liaoning Province,辽宁省,CN021,China,中国,CN
"259",Prefecture-level city,Yinzhou District,Tieling,铁岭市,CN021130,Liaoning Province,辽宁省,CN021,China,中国,CN
"260",Prefecture-level city,Shuncheng District,Fushun,抚顺市,CN021060,Liaoning Province,辽宁省,CN021,China,中国,CN
"261",Prefecture-level city,Horqin District,Tongliao,通辽市,CN015090,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN
"262",League,Ulanhot City,Hinggan League,兴安盟,CN015050,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN
"263",Prefecture-level city,Taobei District,Baicheng,白城市,CN022010,Jilin Province,吉林省,CN022,China,中国,CN
"264",Prefecture-level city,Jianhua District,Qiqihar,齐齐哈尔市,CN023090,Heilongjiang Province,黑龙江省,CN023,China,中国,CN
"265",Prefecture,Jiagedaqi District,Daxinganling Prefecture,大兴安岭地区[4],CN023020,Heilongjiang Province,黑龙江省,CN023,China,中国,CN
"266",Prefecture-level city,Aihui District,Heihe,黑河市,CN023050,Heilongjiang Province,黑龙江省,CN023,China,中国,CN
"267",Prefecture-level city,Sartu District,Daqing,大庆市,CN023010,Heilongjiang Province,黑龙江省,CN023,China,中国,CN
"268",Prefecture-level city,Beilin District,Suihua,绥化市,CN023120,Heilongjiang Province,黑龙江省,CN023,China,中国,CN
"269",Prefecture-level city,Ningjiang District,Songyuan,松原市,CN022070,Jilin Province,吉林省,CN022,China,中国,CN
"270",Prefecture-level city,Tiexi District,Siping,四平市,CN022060,Jilin Province,吉林省,CN022,China,中国,CN
"271",Prefecture-level city,Dongchang District,Tonghua,通化市,CN022080,Jilin Province,吉林省,CN022,China,中国,CN
"272",Prefecture-level city,Longshan District,Liaoyuan,辽源市,CN022050,Jilin Province,吉林省,CN022,China,中国,CN
"273",Prefecture-level city,Chuanying District,Jilin,吉林市,CN022040,Jilin Province,吉林省,CN022,China,中国,CN
"274",Prefecture-level city,Chaoyang District,Changchun,长春市,CN022030,Jilin Province,吉林省,CN022,China,中国,CN
"275",Prefecture-level city,Hunjiang District,Baishan,白山市,CN022020,Jilin Province,吉林省,CN022,China,中国,CN
"276",Prefecture-level city,Songbei District,Harbin,哈尔滨市,CN023030,Heilongjiang Province,黑龙江省,CN023,China,中国,CN
"277",Prefecture-level city,Xiangyang District,Hegang,鹤岗市,CN023040,Heilongjiang Province,黑龙江省,CN023,China,中国,CN
"278",Prefecture-level city,Yichun District,Yichun,伊春市,CN023130,Heilongjiang Province,黑龙江省,CN023,China,中国,CN
"279",Prefecture-level city,Taoshan District,Qitaihe,七台河市,CN023100,Heilongjiang Province,黑龙江省,CN023,China,中国,CN
"280",Prefecture-level city,Jiguan District,Jixi,鸡西市,CN023070,Heilongjiang Province,黑龙江省,CN023,China,中国,CN
"281",Prefecture-level city,Jianshan District,Shuangyashan,双鸭山市,CN023110,Heilongjiang Province,黑龙江省,CN023,China,中国,CN
"282",Prefecture-level city,Qianjin District,Jiamusi,佳木斯市,CN023060,Heilongjiang Province,黑龙江省,CN023,China,中国,CN
"283",Prefecture-level city,Hailar District,Hulunbuir,呼伦贝尔市,CN015070,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN
"284",Prefecture-level city,Xiaonan District,Xiaogan,孝感市,CN042160,Hubei Province,湖北省,CN042,China,中国,CN
"285",Prefecture-level city,Gangbei District,Guigang,贵港市,CN045050,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN
"286",Autonomous prefecture,Duyun City,Qiannan Buyi and Miao Autonomous Prefecture,黔南布依族苗族自治州,CN052060,Guizhou Province,贵州省,CN052,China,中国,CN
"287",Prefecture-level city,Jiaocheng District,Ningde,宁德市,CN035040,Fujian Province,福建省,CN035,China,中国,CN
"288",Prefecture-level city,Lucheng District,Wenzhou,温州市,CN033100,Zhejiang Province,浙江省,CN033,China,中国,CN
"289",Prefecture-level city,Jiaojiang District,Taizhou,台州市,CN033090,Zhejiang Province,浙江省,CN033,China,中国,CN
"290",Prefecture-level city,Liandu District,Lishui,丽水市,CN033050,Zhejiang Province,浙江省,CN033,China,中国,CN
"291",Prefecture-level city,Kecheng District,Quzhou,衢州市,CN033070,Zhejiang Province,浙江省,CN033,China,中国,CN
"292",Prefecture-level city,Wucheng District,Jinhua,金华市,CN033040,Zhejiang Province,浙江省,CN033,China,中国,CN
"293",Prefecture-level city,Yuecheng District,Shaoxing,绍兴市,CN033080,Zhejiang Province,浙江省,CN033,China,中国,CN
"294",Prefecture-level city,Yinzhou District,Ningbo,宁波市,CN033060,Zhejiang Province,浙江省,CN033,China,中国,CN
"295",Prefecture-level city,Jianggan District,Hangzhou,杭州市,CN033010,Zhejiang Province,浙江省,CN033,China,中国,CN
"296",Prefecture-level city,Xuanzhou District,Xuancheng,宣城市,CN034160,Anhui Province,安徽省,CN034,China,中国,CN
"297",Prefecture-level city,Wuxing District,Huzhou,湖州市,CN033020,Zhejiang Province,浙江省,CN033,China,中国,CN
"298",Prefecture-level city,Nanhu District,Jiaxing,嘉兴市,CN033030,Zhejiang Province,浙江省,CN033,China,中国,CN
"299",Municipality,,Shanghai Municipality,上海市,CN031010,Shanghai Municipality,上海市,CN031,China,中国,CN
"300",Prefecture-level city,Gusu District,Suzhou,苏州市,CN032070,Jiangsu Province,江苏省,CN032,China,中国,CN
"301",Prefecture-level city,Binhu District,Wuxi,无锡市,CN032090,Jiangsu Province,江苏省,CN032,China,中国,CN
"302",Prefecture-level city,Xinbei District,Changzhou,常州市,CN032010,Jiangsu Province,江苏省,CN032,China,中国,CN
"303",Prefecture-level city,Xuanwu District,Nanjing,南京市,CN032040,Jiangsu Province,江苏省,CN032,China,中国,CN
"304",Prefecture-level city,Runzhou District,Zhenjiang,镇江市,CN032130,Jiangsu Province,江苏省,CN032,China,中国,CN
"305",Prefecture-level city,Shushan District,Hefei,合肥市,CN034070,Anhui Province,安徽省,CN034,China,中国,CN
"306",Prefecture-level city,Jin'an District,Lu'an,六安市,CN034110,Anhui Province,安徽省,CN034,China,中国,CN
"307",Prefecture-level city,Langya District,Chuzhou,滁州市,CN034050,Anhui Province,安徽省,CN034,China,中国,CN
"308",Prefecture-level city,Hailing District,Taizhou,泰州市,CN032080,Jiangsu Province,江苏省,CN032,China,中国,CN
"309",Prefecture-level city,Chongchuan District,Nantong,南通市,CN032050,Jiangsu Province,江苏省,CN032,China,中国,CN
"310",Prefecture-level city,Tinghu District,Yancheng,盐城市,CN032110,Jiangsu Province,江苏省,CN032,China,中国,CN
"311",Prefecture-level city,Qinghe District,Huai'an,淮安市,CN032020,Jiangsu Province,江苏省,CN032,China,中国,CN
"312",Prefecture-level city,Sucheng District,Suqian,宿迁市,CN032060,Jiangsu Province,江苏省,CN032,China,中国,CN
"313",Prefecture-level city,Yunlong District,Xuzhou,徐州市,CN032100,Jiangsu Province,江苏省,CN032,China,中国,CN
"314",Prefecture-level city,Shizhong District,Jining,济宁市,CN037060,Shandong Province,山东省,CN037,China,中国,CN
"315",Prefecture-level city,Shizhong District,Zaozhuang,枣庄市,CN037160,Shandong Province,山东省,CN037,China,中国,CN
"316",Prefecture-level city,Xinpu District,Lianyungang,连云港市,CN032030,Jiangsu Province,江苏省,CN032,China,中国,CN
"317",Prefecture-level city,Lanshan District,Linyi,临沂市,CN037090,Shandong Province,山东省,CN037,China,中国,CN
"318",Prefecture-level city,Donggang District,Rizhao,日照市,CN037110,Shandong Province,山东省,CN037,China,中国,CN
"319",Prefecture-level city,Shinan District,Qingdao,青岛市,CN037100,Shandong Province,山东省,CN037,China,中国,CN
"320",Prefecture-level city,Huancui District,Weihai,威海市,CN037140,Shandong Province,山东省,CN037,China,中国,CN
"321",Prefecture-level city,Laishan District,Yantai,烟台市,CN037150,Shandong Province,山东省,CN037,China,中国,CN
"322",Prefecture-level city,Kuiwen District,Weifang,潍坊市,CN037130,Shandong Province,山东省,CN037,China,中国,CN
"323",Prefecture-level city,Zhangdian District,Zibo,淄博市,CN037170,Shandong Province,山东省,CN037,China,中国,CN
"324",Prefecture-level city,Taishan District,Tai'an,泰安市,CN037120,Shandong Province,山东省,CN037,China,中国,CN
"325",Prefecture-level city,Lixia District,Jinan,济南市,CN037050,Shandong Province,山东省,CN037,China,中国,CN
"326",Prefecture-level city,Dongying District,Dongying,东营市,CN037030,Shandong Province,山东省,CN037,China,中国,CN
"327",Prefecture-level city,Bincheng District,Binzhou,滨州市,CN037010,Shandong Province,山东省,CN037,China,中国,CN
"328",Prefecture-level city,Chenggong District,Kunming,昆明市,CN053070,Yunnan Province,云南省,CN053,China,中国,CN
"329",Prefecture-level city,Hongta District,Yuxi,玉溪市,CN053150,Yunnan Province,云南省,CN053,China,中国,CN
"330",Prefecture,Tacheng (Qoqek) City,Tarbaĝatay Prefecture,塔城地区,CN065140,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN
"331",Prefecture-level city,Ganzhou District,Zhangye,张掖市,CN062140,Gansu province,甘肃省,CN062,China,中国,CN
"332",Prefecture-level city,Wolong District,Nanyang,南阳市,CN041080,Henan Province,河南省,CN041,China,中国,CN
"333",Prefecture-level city,Guangling District,Yangzhou,扬州市,CN032120,Jiangsu Province,江苏省,CN032,China,中国,CN
"334",Autonomous prefecture,Yanji City,Yanbian Korean Autonomous Prefecture,延边朝鲜族自治州,CN022090,Jilin Province,吉林省,CN022,China,中国,CN
"335",Prefecture-level city,Dong'an District,Mudanjiang,牡丹江市,CN023080,Heilongjiang Province,黑龙江省,CN023,China,中国,CN
"336",Prefecture-level city,Xigang District,Dalian,大连市,CN021040,Liaoning Province,辽宁省,CN021,China,中国,CN
"337",Special Administrative Region,,Macao Special Administrative Region,澳门,CN082010,Macao Special Administrative Region,澳门特别行政区,CN082,China,中国,CN
"338",Prefecture-level city,Litong District,Wuzhong,吴忠市,CN064030,Ningxia Hui Autonomous Region,宁夏回族自治区,CN064,China,中国,CN
"339",Prefecture-level city,Xingbin District,Laibin,来宾市,CN045090,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN
"340",Prefecture-level city,Kongtong District,Pingliang,平凉市,CN062100,Gansu province,甘肃省,CN062,China,中国,CN
"341",Prefecture-level city,Yushan District,Ma'anshan,马鞍山市,CN034120,Anhui Province,安徽省,CN034,China,中国,CN
"342",Prefecture-level city,Jiujiang District,Wuhu,芜湖市,CN034150,Anhui Province,安徽省,CN034,China,中国,CN
"343",County,,Lingao County,临高县[2],CN046100,Hainan Province,海南省,CN046,China,中国,CN
"344",County,,Chengmai County,澄迈县[2],CN046040,Hainan Province,海南省,CN046,China,中国,CN
"345",Prefecture-level city,Xisha District (Xisha Islands),Sansha,三沙市,CN046140,Hainan Province,海南省,CN046,China,中国,CN
"346",County-level City,,Wanning City,万宁市[1],CN046170,Hainan Province,海南省,CN046,China,中国,CN
"347",Autonomous County,,Baoting Li and Miao Autonomous County,保亭黎族苗族自治县[2],CN046020,Hainan Province,海南省,CN046,China,中国,CN
"348",Autonomous County,,Ledong Li Autonomous County,乐东黎族自治县[2],CN046090,Hainan Province,海南省,CN046,China,中国,CN
"349",Prefecture-level city,Nada Town,Danzhou,儋州市,CN046050,Hainan Province,海南省,CN046,China,中国,CN
"350",County,,Ding'an County,定安县[2],CN046060,Hainan Province,海南省,CN046,China,中国,CN
"351",County,,Tunchang County,屯昌县[1],CN046160,Hainan Province,海南省,CN046,China,中国,CN
"352",Autonomous County,,Baisha Li Autonomous County,白沙黎族自治县[2],CN046010,Hainan Province,海南省,CN046,China,中国,CN
"353",Autonomous County,,Qiongzhong Li and Miao Autonomous County,琼中黎族苗族自治县[2],CN046130,Hainan Province,海南省,CN046,China,中国,CN
"354",County-level City,,Dongfang City,东方市[1],CN046070,Hainan Province,海南省,CN046,China,中国,CN
"355",Autonomous County,,Changjiang Li Autonomous County,昌江黎族自治县[2],CN046030,Hainan Province,海南省,CN046,China,中国,CN
"356",County-level City,,Qionghai City,琼海市[1],CN046120,Hainan Province,海南省,CN046,China,中国,CN
"357",Autonomous County,,Lingshui Li Autonomous County,陵水黎族自治县[2],CN046110,Hainan Province,海南省,CN046,China,中国,CN
"358",Prefecture-level city,Longhua District,Haikou,海口市,CN046080,Hainan Province,海南省,CN046,China,中国,CN
"359",Prefecture-level city,Jiyang District,Sanya,三亚市,CN046150,Hainan Province,海南省,CN046,China,中国,CN
"360",Sub-prefecture-level city,Qinyuan Subdistrict,Jiyuan,济源市〔1〕,CN041040,Henan Province,河南省,CN041,China,中国,CN
"361",County-level City,,Wuzhishan City,五指山市[1],CN046180,Hainan Province,海南省,CN046,China,中国,CN
