OBJECTID,Admin_type,Adm2_CAP,ADM2_EN,ADM2_ZH,ADM2_PCODE,ADM1_EN,ADM1_ZH,ADM1_PCODE,ADM0_EN,ADM0_ZH,ADM0_PCODE
"38",Prefecture-level city,"Zêtang Town, Nêdong County",Lhoka,山南市,CN054020,Tibet Autonomous Region,西藏自治区,CN054,China,中国,CN
"39",Prefecture-level city,Bayi District,Nyingchi,林芝市,CN054050,Tibet Autonomous Region,西藏自治区,CN054,China,中国,CN
"40",Prefecture-level city,Karub District,Qamdo,昌都市,CN054060,Tibet Autonomous Region,西藏自治区,CN054,China,中国,CN
"41",Prefecture-level city,Gucheng District,Lijiang,丽江市,CN053080,Yunnan Province,云南省,CN053,China,中国,CN
"42",Prefecture-level city,Dong District,Panzhihua,攀枝花市,CN051160,Sichuan Province,四川省,CN051,China,中国,CN
"43",Autonomous prefecture,Xichang City,Liangshan Yi Autonomous Prefecture,凉山彝族自治州,CN051090,Sichuan Province,四川省,CN051,China,中国,CN
"44",Autonomous prefecture,Chuxiong City,Chuxiong Yi Autonomous Prefecture,楚雄彝族自治州,CN053020,Yunnan Province,云南省,CN053,China,中国,CN
"45",Autonomous prefecture,Mengzi City,Honghe Hani and Yi Autonomous Prefecture,红河哈尼族彝族自治州,CN053060,Yunnan Province,云南省,CN053,China,中国,CN
"46",Autonomous prefecture,Wenshan City,Wenshan Zhuang and Miao Autonomous Prefecture,文山壮族苗族自治州,CN053130,Yunnan Province,云南省,CN053,China,中国,CN
"47",Prefecture-level city,Youjiang District,Baise,百色市,CN045010,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN
"48",Prefecture-level city,Jiangzhou District,Chongzuo,崇左市,CN045030,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN
"49",Prefecture-level city,Gangkou District,Fangchenggang,防城港市,CN045040,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN
"50",Prefecture-level city,Qingxiu District,NanNing,南宁市,CN045110,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN
"51",Prefecture-level city,Qinbei District,Qinzhou,钦州市,CN045120,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN
"52",Prefecture-level city,Yuzhou District,Yulin,玉林市,CN045140,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN
"53",Prefecture-level city,Chikan District,Zhanjiang,湛江市,CN044180,Guangdong Province,广东省,CN044,China,中国,CN
"54",Prefecture-level city,Maonan District,Maoming,茂名市,CN044090,Guangdong Province,广东省,CN044,China,中国,CN
"55",Prefecture-level city,Jiangcheng District,Yangjiang,阳江市,CN044160,Guangdong Province,广东省,CN044,China,中国,CN
"56",Prefecture-level city,Pengjiang District,Jiangmen,江门市,CN044070,Guangdong Province,广东省,CN044,China,中国,CN
"57",Prefecture-level city,Yuexiu District,Guangzhou,广州市,CN044040,Guangdong Province,广东省,CN044,China,中国,CN
"58",Prefecture-level city,Qingcheng District,Qingyuan,清远市,CN044110,Guangdong Province,广东省,CN044,China,中国,CN
"59",Prefecture-level city,Duanzhou District,Zhaoqing,肇庆市,CN044190,Guangdong Province,广东省,CN044,China,中国,CN
"60",Prefecture-level city,Changzhou District,Wuzhou,梧州市,CN045130,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN
"61",Prefecture-level city,Babu District,Hezhou,贺州市,CN045080,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN
"62",Prefecture-level city,Lingui District,Guilin,桂林市,CN045060,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN
"63",Prefecture-level city,Liubei District,Liuzhou,柳州市,CN045100,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN
"64",Prefecture-level city,Jinchengjiang District,Hechi,河池市,CN045070,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN
"65",Autonomous prefecture,Kaili City,Qiandongnan Miao and Dong Autonomous Prefecture,黔东南苗族侗族自治州,CN052050,Guizhou Province,贵州省,CN052,China,中国,CN
"66",Prefecture-level city,Guanshanhu District,Guiyang,贵阳市,CN052030,Guizhou Province,贵州省,CN052,China,中国,CN
"67",Prefecture-level city,Xixiu District,Anshun,安顺市,CN052010,Guizhou Province,贵州省,CN052,China,中国,CN
"68",Autonomous prefecture,Xingyi City,Qianxinan Buyi and Miao Autonomous Prefecture,黔西南布依族苗族自治州,CN052070,Guizhou Province,贵州省,CN052,China,中国,CN
"69",Prefecture-level city,Qilin District,Qujing,曲靖市,CN053120,Yunnan Province,云南省,CN053,China,中国,CN
"70",Prefecture-level city,Zhongshan District,Liupanshui,六盘水市,CN052040,Guizhou Province,贵州省,CN052,China,中国,CN
"71",Prefecture-level city,Qixingguan District,Bijie,毕节市,CN052020,Guizhou Province,贵州省,CN052,China,中国,CN
